"","transmission","dispersal","nExtantDis","nPathogens","meanK","maxDistance","nEvents","colonySize","colonyNumber","pop","area","dens"
"74","0.2","0.01","1","2","8.2","100","1e+06","400","20","8000","4e+04","0.2"
"75","0.3","0.01","1","2","9.6","100","1e+06","400","20","8000","4e+04","0.2"
"76","0.1","0.01","1","2","9","100","1e+06","400","20","8000","4e+04","0.2"
"77","0.2","0.01","1","2","8.7","100","1e+06","400","20","8000","4e+04","0.2"
"78","0.3","0.01","1","2","6.9","100","1e+06","400","20","8000","4e+04","0.2"
"79","0.1","0.01","1","2","13.7","100","1e+06","400","20","8000","4e+04","0.2"
"80","0.2","0.01","1","2","9.6","100","1e+06","400","20","8000","4e+04","0.2"
"81","0.3","0.01","1","2","8.4","100","1e+06","400","20","8000","4e+04","0.2"
"82","0.1","0.01","1","2","9.6","100","1e+06","400","20","8000","4e+04","0.2"
"83","0.2","0.01","1","2","9.1","100","1e+06","400","20","8000","4e+04","0.2"
"84","0.3","0.01","1","2","9.1","100","1e+06","400","20","8000","4e+04","0.2"
"85","0.1","0.01","1","2","7.3","100","1e+06","400","20","8000","4e+04","0.2"
"86","0.2","0.01","1","2","12","100","1e+06","400","20","8000","4e+04","0.2"
"87","0.3","0.01","1","2","9.6","100","1e+06","400","20","8000","4e+04","0.2"
"88","0.1","0.01","1","2","9.8","100","1e+06","400","20","8000","4e+04","0.2"
"89","0.2","0.01","1","2","9.6","100","1e+06","400","20","8000","4e+04","0.2"
"90","0.3","0.01","1","2","10.4","100","1e+06","400","20","8000","4e+04","0.2"
"91","0.1","0.01","1","2","8.7","100","1e+06","400","20","8000","4e+04","0.2"
"92","0.2","0.01","1","2","10","100","1e+06","400","20","8000","4e+04","0.2"
"93","0.3","0.01","1","2","7.3","100","1e+06","400","20","8000","4e+04","0.2"
"94","0.1","0.01","1","2","8.1","100","1e+06","400","20","8000","4e+04","0.2"
"95","0.2","0.01","1","2","9.9","100","1e+06","400","20","8000","4e+04","0.2"
"96","0.3","0.01","1","2","8.4","100","1e+06","400","20","8000","4e+04","0.2"
"97","0.1","0.01","1","2","12.3","100","1e+06","400","20","8000","4e+04","0.2"
"98","0.2","0.01","1","2","9.7","100","1e+06","400","20","8000","4e+04","0.2"
"99","0.3","0.01","1","2","10","100","1e+06","400","20","8000","4e+04","0.2"
"100","0.1","0.01","1","2","8.4","100","1e+06","400","20","8000","4e+04","0.2"
"101","0.2","0.01","1","2","6.9","100","1e+06","400","20","8000","4e+04","0.2"
"102","0.3","0.01","1","2","9.2","100","1e+06","400","20","8000","4e+04","0.2"
"103","0.1","0.01","1","2","9.7","100","1e+06","400","20","8000","4e+04","0.2"
"104","0.2","0.01","1","2","8.8","100","1e+06","400","20","8000","4e+04","0.2"
"105","0.3","0.01","1","2","8.3","100","1e+06","400","20","8000","4e+04","0.2"
"106","0.1","0.01","1","2","10.1","100","1e+06","400","20","8000","4e+04","0.2"
"107","0.2","0.01","1","2","9.7","100","1e+06","400","20","8000","4e+04","0.2"
"108","0.3","0.01","1","2","9.5","100","1e+06","400","20","8000","4e+04","0.2"
"109","0.1","0.01","1","2","8.9","100","1e+06","400","20","8000","4e+04","0.2"
"110","0.2","0.01","1","2","8.6","100","1e+06","400","20","8000","4e+04","0.2"
"111","0.3","0.01","1","2","10.4","100","1e+06","400","20","8000","4e+04","0.2"
"112","0.1","0.01","1","2","8.2","100","1e+06","400","20","8000","4e+04","0.2"
"113","0.2","0.01","1","2","7.8","100","1e+06","400","20","8000","4e+04","0.2"
"114","0.3","0.01","1","2","9.5","100","1e+06","400","20","8000","4e+04","0.2"
"115","0.1","0.01","1","2","9.7","100","1e+06","400","20","8000","4e+04","0.2"
"116","0.2","0.01","1","2","9.2","100","1e+06","400","20","8000","4e+04","0.2"
"117","0.3","0.01","1","2","8.8","100","1e+06","400","20","8000","4e+04","0.2"
"118","0.1","0.01","1","2","7.6","100","1e+06","400","20","8000","4e+04","0.2"
"119","0.2","0.01","1","2","7.9","100","1e+06","400","20","8000","4e+04","0.2"
"120","0.3","0.01","2","2","8.6","100","1e+06","400","20","8000","4e+04","0.2"
"121","0.1","0.01","1","2","8.4","100","1e+06","400","20","8000","4e+04","0.2"
"122","0.2","0.01","1","2",NA,"100","1e+06","400","20","8000","4e+04","0.2"
"123","0.3","0.01","1","2","11.2","100","1e+06","400","20","8000","4e+04","0.2"
"124","0.1","0.01","1","2","7.7","100","1e+06","400","20","8000","4e+04","0.2"
"125","0.2","0.01","1","2","12","100","1e+06","400","20","8000","4e+04","0.2"
"126","0.3","0.01","1","2","9.1","100","1e+06","400","20","8000","4e+04","0.2"
"127","0.1","0.01","1","2","8.9","100","1e+06","400","20","8000","4e+04","0.2"
"128","0.2","0.01","1","2","8.3","100","1e+06","400","20","8000","4e+04","0.2"
"129","0.3","0.01","1","2","9.8","100","1e+06","400","20","8000","4e+04","0.2"
