"","log.scholarRefs.","NumberOfSubspecies","log.mass.","log.distrSize.","rand","log.scholarRefs..NumberOfSubspecies","AIC","boot","lambda","attempt","predictors","beta (Intercept)","beta log(scholarRefs)","beta NumberOfSubspecies","beta log(mass)","beta log(distrSize)","beta rand","beta log(scholarRefs):NumberOfSubspecies","dAIC","weight"
"22",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,901.212001067355,1,0.139791483948526,1,"log(scholarRefs) + log(distrSize) + rand",-9.42787419896906,0.911040026647987,NA,NA,0.224521912245136,-0.00648198111320071,NA,18.8853148941702,2.34895462858335e-05
"23",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,907.026787837351,1,0.028725913963657,2,"NumberOfSubspecies + log(mass) + log(distrSize)",-16.1305378572292,NA,0.278469379929159,0.516074226904158,0.563757559775665,NA,NA,24.700101664166,1.28294998020221e-06
"24",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,919.05551801359,1,0.0477959505608425,1,"NumberOfSubspecies + log(mass) + rand",0.881077018098884,NA,0.313651260144115,0.396945506911331,NA,-1.11260820904116,NA,36.7288318404052,3.13475897497563e-09
"25",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,914.613450868199,1,0.0659218761334048,1,"NumberOfSubspecies + log(distrSize) + rand",-11.1520457488941,NA,0.285467767952924,NA,0.459824878466083,-0.777845093859113,NA,32.2867646950136,2.88926102531866e-08
"26",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,925.828489695004,1,0.00654463097718249,2,"log(mass) + log(distrSize) + rand",-16.6101782678552,NA,NA,0.520218398552683,0.62156338583691,-0.599774359642958,NA,43.5018035218185,1.06040566891199e-10
"27",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,889.255586159132,1,0.0713751004339638,1,"log(scholarRefs) + NumberOfSubspecies + log(mass) + log(distrSize)",-11.6763792690558,0.694311104003105,0.19573989854744,0.404974600748563,0.280687221961159,NA,NA,6.92889998594717,0.00927207929792438
"28",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,892.514763485518,1,0.0843461347793199,1,"log(scholarRefs) + NumberOfSubspecies + log(mass) + rand",-3.89030082402825,0.796898954307407,0.197711848772139,0.340227915396464,NA,-0.301358144644578,NA,10.1880773123324,0.00181742196693179
"29",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,894.304829719908,1,0.110910924480392,1,"log(scholarRefs) + NumberOfSubspecies + log(distrSize) + rand",-8.59536306461379,0.754205677673314,0.188747345268692,NA,0.21006000102991,-0.199592401823074,NA,11.9781435467227,7.42587832791761e-04
"30",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,899.296645146424,1,0.0959757378843783,1,"log(scholarRefs) + log(mass) + log(distrSize) + rand",-11.7747612048315,0.851672633760506,NA,0.376829256719472,0.276838690050667,-0.0067659255725905,NA,16.9699589732392,6.12052789863235e-05
"31",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,907.768386057373,1,0.0257879057351046,2,"NumberOfSubspecies + log(mass) + log(distrSize) + rand",-14.9094900158047,NA,0.281293922598065,0.504719651766895,0.534605869467753,-0.718507866607041,NA,25.4416998841879,8.85469725298789e-07
"32",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,891.267116402262,1,0.0698075061442773,1,"log(scholarRefs) + NumberOfSubspecies + log(mass) + log(distrSize) + rand",-11.3829166786855,0.68416359742421,0.197860403903954,0.404028760420543,0.276091437130797,-0.203599433077776,NA,8.94043022907681,0.00339139905499632
"33",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,885.469152669305,1,0.103406376041755,1,"log(scholarRefs):NumberOfSubspecies + log(scholarRefs) + NumberOfSubspecies",-0.45431725820064,0.431042620865569,-0.785256437291269,NA,NA,NA,0.13989891289006,3.14246649611971,0.0615730579129934
"34",TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,883.714994258918,1,0.0788717949201337,1,"log(scholarRefs):NumberOfSubspecies + log(scholarRefs) + NumberOfSubspecies + log(mass)",-1.34822843836686,0.398342819997801,-0.778542287272094,0.335521432618832,NA,NA,0.139902860862221,1.38830808573277,0.148013518160578
"35",TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,885.506407394033,1,0.108256484069502,1,"log(scholarRefs):NumberOfSubspecies + log(scholarRefs) + NumberOfSubspecies + log(distrSize)",-5.99362917888643,0.35318652331324,-0.780263718947991,NA,0.20974450892233,NA,0.138995974392246,3.17972122084814,0.0604367304992131
"36",TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,887.195613898243,1,0.100592356735096,1,"log(scholarRefs):NumberOfSubspecies + log(scholarRefs) + NumberOfSubspecies + rand",-0.12528753717979,0.406109107855286,-0.790335166439322,NA,NA,-0.362845496581494,0.141164363953394,4.86892772505769,0.0259713443245433
"37",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,882.326686173185,1,0.0671107702923551,1,"log(scholarRefs):NumberOfSubspecies + log(scholarRefs) + NumberOfSubspecies + log(mass) + log(distrSize)",-8.7182590470902,0.28539445379332,-0.769533851545732,0.399380460994328,0.273445306218036,NA,0.138758678206531,0,0.296325244888006
"38",TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,885.429055328079,1,0.0767264352678335,1,"log(scholarRefs):NumberOfSubspecies + log(scholarRefs) + NumberOfSubspecies + log(mass) + rand",-1.01127117927493,0.372909359491071,-0.783267594913294,0.335405590652522,NA,-0.375502028469299,0.141131575869148,3.10236915489395,0.0628199736045937
"39",TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,887.409044206463,1,0.105537099448438,1,"log(scholarRefs):NumberOfSubspecies + log(scholarRefs) + NumberOfSubspecies + log(distrSize) + rand",-5.54797549516544,0.336531077046932,-0.784294461712453,NA,0.202507853738783,-0.279981669707927,0.140001845094688,5.08235803327739,0.0233425677252702
"40",TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,882.326686173185,1,0.0671107702923551,1,"log(scholarRefs):NumberOfSubspecies + log(scholarRefs) + NumberOfSubspecies + log(mass) + log(distrSize)",-8.7182590470902,0.28539445379332,-0.769533851545732,0.399380460994328,0.273445306218036,NA,0.138758678206531,0,0.296325244888006
"41",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,943.715459427767,2,0.0380900560722205,1,"1",2.61998566526548,NA,NA,NA,NA,NA,NA,61.3887732545819,1.38915623163691e-14
"42",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,899.196981256046,2,0.131214805862416,1,"log(scholarRefs)",-3.5179838009237,0.99741067342471,NA,NA,NA,NA,NA,16.8702950828612,6.45380438552634e-05
"43",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,923.368250392827,2,0.0602938618125976,1,"NumberOfSubspecies",1.58032939909009,NA,0.3109119722634,NA,NA,NA,NA,41.0415642196418,3.63991627758716e-10
"44",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,941.109961469979,2,0.0268030327262256,2,"log(mass)",1.435229894456,NA,NA,0.376338321977278,NA,NA,NA,58.7832752967935,5.11125777638896e-14
"45",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,931.526765286748,2,0.0686008868329365,1,"log(distrSize)",-14.1153035085656,NA,NA,NA,0.582415048188426,NA,NA,49.2000791135632,6.15874744333479e-12
"46",FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,945.753039810962,2,0.0378792104345597,1,"rand",2.6411682500504,NA,NA,NA,NA,-0.0414181840144664,NA,63.4263536377772,5.0152909547175e-15
"47",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,892.302688880896,2,0.110831821904477,1,"log(scholarRefs) + NumberOfSubspecies",-3.23813389277484,0.847552096082199,0.187814987766102,NA,NA,NA,NA,9.97600270771056,0.00202718024532384
"48",TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,898.36038313352,2,0.105715579973185,1,"log(scholarRefs) + log(mass)",-4.34856267918991,0.968721277443174,NA,0.314999831339859,NA,NA,NA,16.0336969603351,9.8057489909443e-05
"49",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,899.127688832345,2,0.139888053016899,1,"log(scholarRefs) + log(distrSize)",-9.43785669722975,0.911310002571796,NA,NA,0.224694890860704,NA,NA,16.8010026591602,6.6813228273624e-05
"50",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,900.820230671684,2,0.136178476345411,1,"log(scholarRefs) + rand",-3.77473844427829,1.00656350311329,NA,NA,NA,0.384184127739395,NA,18.4935444984986,2.86636614604963e-05
"51",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,920.113591543997,2,0.0544589877314132,1,"NumberOfSubspecies + log(mass)",0.284696674285031,NA,0.312346059160059,0.408614306847096,NA,NA,NA,37.7869053708122,1.85281297658511e-09
"52",FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,914.053617215611,2,0.0728516067850679,1,"NumberOfSubspecies + log(distrSize)",-12.5267481295626,NA,0.282316909220673,NA,0.494224605538529,NA,NA,31.7269310424257,3.83476088953647e-08
"53",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,925.34618756164,2,0.0593654590831856,1,"NumberOfSubspecies + rand",1.67075935134614,NA,0.311802491588999,NA,NA,-0.180355429245894,NA,43.0195013884548,1.3539037635708e-10
"54",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,924.606307287033,2,0.00672957338758534,2,"log(mass) + log(distrSize)",-17.6235158816153,NA,NA,0.529238780500497,0.645692709769783,NA,NA,42.2796211138478,1.95997601048344e-10
"55",FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,924.028270661341,2,-0.020713679147888,1,"log(mass) + rand",1.54759510122714,NA,NA,0.346070483612148,NA,-0.154213615461995,NA,41.7015844881561,2.61679568024796e-10
"56",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,933.554464276235,2,0.0692052667878113,1,"log(distrSize) + rand",-14.2300477157481,NA,NA,NA,0.584283411951112,0.118270632823842,NA,51.2277781030497,2.23451438042589e-12
"57",TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,890.663158343521,2,0.087022422397332,1,"log(scholarRefs) + NumberOfSubspecies + log(mass)",-4.14268296217542,0.814624406509868,0.194606631392724,0.340276373468402,NA,NA,NA,8.33647217033615,0.00460163214372049
"58",TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,892.30811353542,2,0.113347183801267,1,"log(scholarRefs) + NumberOfSubspecies + log(distrSize)",-8.8984069431875,0.764123109013911,0.186598353488069,NA,0.215162742572786,NA,NA,9.98142736223497,0.00202168931903984
"59",TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,894.230558138412,2,0.113284122082103,1,"log(scholarRefs) + NumberOfSubspecies + rand",-3.39011605304453,0.85442953045831,0.185529233717133,NA,NA,0.225504924136006,NA,11.9038719652264,7.73144864005866e-04
"60",TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,897.19040403633,2,0.0960485057271602,1,"log(scholarRefs) + log(mass) + log(distrSize)",-11.7847626337589,0.851959196268205,NA,0.376860723704644,0.277002256059851,NA,NA,14.8637178631444,1.76010470895655e-04
"61",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,899.991063308054,2,0.112432937665113,1,"log(scholarRefs) + log(mass) + rand",-4.61515777618252,0.978492957990093,NA,0.316923168456496,NA,0.389427513240192,NA,17.6643771348687,4.33893427038137e-05
"62",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,900.726635632637,2,0.145203913881728,1,"log(scholarRefs) + log(distrSize) + rand",-9.76982091602962,0.91988304017606,NA,NA,0.227109885300106,0.401102846930225,NA,18.3999494594519,3.00369319294866e-05
"63",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,907.026787837351,2,0.028725913963657,2,"NumberOfSubspecies + log(mass) + log(distrSize)",-16.1305378572292,NA,0.278469379929159,0.516074226904158,0.563757559775665,NA,NA,24.700101664166,1.28704846658996e-06
"64",FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,922.123177303023,2,0.0529556598558528,1,"NumberOfSubspecies + log(mass) + rand",0.374949675083634,NA,0.313088498096909,0.406908266189965,NA,-0.167803674722851,NA,39.796491129838,6.78352735573944e-10
"65",FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,916.132380631565,2,0.0726453260716195,1,"NumberOfSubspecies + log(distrSize) + rand",-12.483005478892,NA,0.282600467304665,NA,0.493485028287535,-0.0452305817894035,NA,33.8056944583794,1.35625249151184e-08
"66",FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,926.673821438249,2,0.00769887883049416,2,"log(mass) + log(distrSize) + rand",-17.6925049737204,NA,NA,0.528991108215978,0.646704860706313,0.0820189873197729,NA,44.3471352650641,6.97101090613727e-11
"67",TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,889.255586159132,2,0.0713751004339638,1,"log(scholarRefs) + NumberOfSubspecies + log(mass) + log(distrSize)",-11.6763792690558,0.694311104003105,0.19573989854744,0.404974600748563,0.280687221961159,NA,NA,6.92889998594717,0.00930169969729697
"68",TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,892.615319749988,2,0.0902647605941511,1,"log(scholarRefs) + NumberOfSubspecies + log(mass) + rand",-4.29495001361582,0.821534806842965,0.192356189859142,0.341069035731975,NA,0.222872748778826,NA,10.2886335768025,0.00173382569463866
"69",TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,894.232486740871,2,0.115900020208059,1,"log(scholarRefs) + NumberOfSubspecies + log(distrSize) + rand",-9.09800343594057,0.770941842483796,0.184115236094382,NA,0.216558623360671,0.241721929874716,NA,11.9058005676858,7.72399678812001e-04
"70",TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,898.79819742195,2,0.103456528810118,1,"log(scholarRefs) + log(mass) + log(distrSize) + rand",-12.111625381018,0.861641529057322,NA,0.378310791250154,0.278925589665239,0.405307885544832,NA,16.4715112487646,7.8779026020593e-05
"71",FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,909.127969430682,2,0.0283226560458491,2,"NumberOfSubspecies + log(mass) + log(distrSize) + rand",-16.091915329122,NA,0.27869600272408,0.515817093316061,0.56318030618237,-0.0427659719467644,NA,26.8012832574965,4.50120834936504e-07
"72",TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,891.212819076356,2,0.0747212839693015,1,"log(scholarRefs) + NumberOfSubspecies + log(mass) + log(distrSize) + rand",-11.8528240255345,0.701371116826275,0.193340032229312,0.405270550126534,0.281405786856715,0.2333696931143,NA,8.88613290317039,0.00349586446342536
"73",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,885.469152669305,2,0.103406376041755,1,"log(scholarRefs):NumberOfSubspecies + log(scholarRefs) + NumberOfSubspecies",-0.45431725820064,0.431042620865569,-0.785256437291269,NA,NA,NA,0.13989891289006,3.14246649611971,0.0617697579742604
