"","binomial","scholarRefs"
"188","Syconycteris australis","618"
"189","Tadarida brasiliensis","5400"
"190","Tadarida teniotis","1160"
"191","Taphozous melanopogon","503"
"192","Taphozous perforatus","264"
"193","Tonatia bidens","508"
"194","Trachops cirrhosus","1230"
"195","Tylonycteris pachypus","428"
"196","Uroderma bilobatum","1210"
"197","Vampyrodes caraccioli","344"
"198","Vespertilio murinus","2280"
"199","Vespertilio sinensis","216"
