"","log.scholarRefs.","log.Nm.","log.mass.","log.distrSize.","rand","AIC","boot","lambda","attempt","predictors","dAIC","weight"
"18",TRUE,TRUE,FALSE,TRUE,FALSE,140.608690900784,1,0.206626627541732,1,"log(scholarRefs) + log(Nm) + log(distrSize)",67.2641984788572,2.05020201738889e-15
"19",TRUE,TRUE,FALSE,FALSE,TRUE,141.146043220011,1,0.118795130667922,1,"log(scholarRefs) + log(Nm) + rand",67.8015507980843,1.56715547037027e-15
"20",TRUE,FALSE,TRUE,TRUE,FALSE,85.6764751770408,1,-5.12141415020007,1,"log(scholarRefs) + log(mass) + log(distrSize)",12.3319827551144,0.00173850418429618
"21",TRUE,FALSE,TRUE,FALSE,TRUE,98.2012187602859,1,-4.28672490512733,1,"log(scholarRefs) + log(mass) + rand",24.8567263383595,3.3148373801248e-06
"22",TRUE,FALSE,FALSE,TRUE,TRUE,140.31577155433,1,0.202772461865003,1,"log(scholarRefs) + log(distrSize) + rand",66.9712791324033,2.37357677822414e-15
"23",FALSE,TRUE,TRUE,TRUE,FALSE,115.739742810343,1,-4.13967574993174,1,"log(Nm) + log(mass) + log(distrSize)",42.3952503884169,5.15252514338682e-10
"24",FALSE,TRUE,TRUE,FALSE,TRUE,120.547182416344,1,-5.64902394119068,1,"log(Nm) + log(mass) + rand",47.2026899944179,4.65691030520912e-11
"25",FALSE,TRUE,FALSE,TRUE,TRUE,145.351188833991,1,0.0625900362902101,1,"log(Nm) + log(distrSize) + rand",72.0066964120648,1.91415153110455e-16
"26",FALSE,FALSE,TRUE,TRUE,TRUE,110.937753123003,1,-4.01096033841796,1,"log(mass) + log(distrSize) + rand",37.5932607010769,5.68537259054414e-09
"27",TRUE,TRUE,TRUE,TRUE,FALSE,141.05898866598,1,NA,5,"log(scholarRefs) + log(Nm) + log(mass) + log(distrSize)",67.7144962440537,1.63687584214744e-15
"28",TRUE,TRUE,TRUE,FALSE,TRUE,80.0784479348316,1,-9.53008563679167,1,"log(scholarRefs) + log(Nm) + log(mass) + rand",6.73395551290523,0.0285609014517604
"29",TRUE,TRUE,FALSE,TRUE,TRUE,143.309729871128,1,0.180259433489724,1,"log(scholarRefs) + log(Nm) + log(distrSize) + rand",69.9652374492015,5.31218873345685e-16
"30",TRUE,FALSE,TRUE,TRUE,TRUE,73.3444924219264,1,-8.07236041671473,3,"log(scholarRefs) + log(mass) + log(distrSize) + rand",0,0.828002734455977
"31",FALSE,TRUE,TRUE,TRUE,TRUE,92.8218756277191,1,-8.15290774961852,4,"log(Nm) + log(mass) + log(distrSize) + rand",19.4773832057927,4.88170742066464e-05
"32",TRUE,TRUE,TRUE,TRUE,TRUE,143.272493234916,1,NA,5,"log(scholarRefs) + log(Nm) + log(mass) + log(distrSize) + rand",69.9280008129895,5.41201920712562e-16
"33",FALSE,FALSE,FALSE,FALSE,FALSE,118.431463660977,2,-0.221352153220703,2,"1",41.55559119805,9.35432072193259e-10
"34",TRUE,FALSE,FALSE,FALSE,FALSE,136.044595357054,2,0.150804971873433,1,"log(scholarRefs)",59.1687228941273,1.40077797233061e-13
"35",FALSE,TRUE,FALSE,FALSE,FALSE,125.77812921828,2,-0.221352153206642,1,"log(Nm)",48.9022567553527,2.37522141426757e-11
"36",FALSE,FALSE,TRUE,FALSE,FALSE,136.969888150223,2,-0.962525436160505,1,"log(mass)",60.0940156872965,8.81951141369362e-14
"37",FALSE,FALSE,FALSE,TRUE,FALSE,142.124128998979,2,0.0812862580547989,1,"log(distrSize)",65.2482565360524,6.70216857425878e-15
"38",FALSE,FALSE,FALSE,FALSE,TRUE,122.073580680784,2,-0.221352153220675,1,"rand",45.1977082178575,1.51403736740361e-10
"39",TRUE,TRUE,FALSE,FALSE,FALSE,138.587892573984,2,0.137566157415679,1,"log(scholarRefs) + log(Nm)",61.7120201110566,3.92734749885768e-14
"40",TRUE,FALSE,TRUE,FALSE,FALSE,102.607616488755,2,-3.38553024980044,1,"log(scholarRefs) + log(mass)",25.7317440258281,2.55338916234455e-06
"41",TRUE,FALSE,FALSE,TRUE,FALSE,137.856107782131,2,0.224305643016117,1,"log(scholarRefs) + log(distrSize)",60.9802353192046,5.66244998023456e-14
"42",TRUE,FALSE,FALSE,FALSE,TRUE,137.945746365249,2,0.173449683816547,1,"log(scholarRefs) + rand",61.0698739023224,5.4142662373238e-14
"43",FALSE,TRUE,TRUE,FALSE,FALSE,148.647399615083,2,NA,5,"log(Nm) + log(mass)",71.7715271521558,2.56865117568606e-16
"44",FALSE,TRUE,FALSE,TRUE,FALSE,143.410194257492,2,0.0763829747693659,1,"log(Nm) + log(distrSize)",66.5343217945647,3.52330162825854e-15
"45",FALSE,TRUE,FALSE,FALSE,TRUE,131.498089801038,2,-0.221494853638132,2,"log(Nm) + rand",54.6222173381112,1.36028666662076e-12
"46",FALSE,FALSE,TRUE,TRUE,FALSE,119.051741559007,2,-3.7713455597814,1,"log(mass) + log(distrSize)",42.1758690960799,6.85994481224784e-10
"47",FALSE,FALSE,TRUE,FALSE,TRUE,134.536282411206,2,-1.36570260822827,1,"log(mass) + rand",57.6604099482794,2.97779844227359e-13
"48",FALSE,FALSE,FALSE,TRUE,TRUE,141.652068463619,2,0.190919138162653,1,"log(distrSize) + rand",64.7761960006919,8.48637052999652e-15
"49",TRUE,TRUE,TRUE,FALSE,FALSE,76.8758724629269,2,-6.71175582948554,2,"log(scholarRefs) + log(Nm) + log(mass)",0,0.987857339323875
"50",TRUE,TRUE,FALSE,TRUE,FALSE,140.608690900784,2,0.206626627541732,1,"log(scholarRefs) + log(Nm) + log(distrSize)",63.7328184378567,1.4298436432819e-14
"51",TRUE,TRUE,FALSE,FALSE,TRUE,140.757889636431,2,0.177092211213565,1,"log(scholarRefs) + log(Nm) + rand",63.8820171735038,1.32705968284567e-14
