"","binomial","virusSpecies","NumberOfSubspecies","Genus","Family","familyPlotCol","mass","distrSize","pubmedRefs","scholarRefs","SubspeciesFactor"
"Glossophaga morenoi","Glossophaga morenoi",1,3,"Glossophaga","Phyllostomidae","Phyllostomidae",8.54,327072966040.371,0,146,"3"
"Glossophaga soricina","Glossophaga soricina",8,5,"Glossophaga","Phyllostomidae","Phyllostomidae",9.97,14858410302299.2,90,3460,"5"
"Hipposideros armiger","Hipposideros armiger",5,4,"Hipposideros","Hipposideridae","Hipposideridae",49.99,4475406516453.57,26,656,"4"
"Hipposideros bicolor","Hipposideros bicolor",1,7,"Hipposideros","Hipposideridae","Hipposideridae",8.39,1584431740920.16,4,371,"7"
"Hipposideros caffer","Hipposideros caffer",3,4,"Hipposideros","Hipposideridae","Hipposideridae",9.46,6348387299595.03,6,458,"4"
"Hipposideros cineraceus","Hipposideros cineraceus",1,2,"Hipposideros","Hipposideridae","Hipposideridae",3.84,2203629641389.16,0,164,"2"
"Hipposideros commersoni","Hipposideros commersoni",1,1,"Hipposideros","Hipposideridae","Hipposideridae",89.99,513160069732.214,0,429,"1"
"Hipposideros diadema","Hipposideros diadema",2,15,"Hipposideros","Hipposideridae","Hipposideridae",46.9,3318837887416.13,4,472,"15"
"Hipposideros lankadiva","Hipposideros lankadiva",1,1,"Hipposideros","Hipposideridae","Hipposideridae",44.76,712586188905.555,2,188,"1"
"Hipposideros larvatus","Hipposideros larvatus",2,5,"Hipposideros","Hipposideridae","Hipposideridae",19.95,3287880639738.13,7,398,"5"
"Hipposideros pomona","Hipposideros pomona",2,3,"Hipposideros","Hipposideridae","Hipposideridae",6.2,2840896125827.18,5,226,"3"
"Hipposideros speoris","Hipposideros speoris",2,1,"Hipposideros","Hipposideridae","Hipposideridae",10.39,1225278452423.91,9,603,"1"
"Histiotus montanus","Histiotus montanus",1,3,"Histiotus","Vespertilionidae","Vespertilionidae",12.5,4225093864793.38,4,410,"3"
"Histiotus velatus","Histiotus velatus",1,1,"Histiotus","Vespertilionidae","Vespertilionidae",11.32,2635147415965.28,5,320,"1"
"Hypsignathus monstrosus","Hypsignathus monstrosus",2,1,"Hypsignathus","Pteropodidae","Pteropodidae",336.97,2860594080067.83,9,697,"1"
"Ia io","Ia io",1,1,"Ia","Vespertilionidae","Vespertilionidae",49.3,1506490961339.32,2,6810,"1"
"Lasionycteris noctivagans","Lasionycteris noctivagans",1,1,"Lasionycteris","Vespertilionidae","Vespertilionidae",11.02,10110807933281.9,33,2480,"1"
"Lasiurus blossevillii","Lasiurus blossevillii",1,4,"Lasiurus","Vespertilionidae","Vespertilionidae",22,19046128555673.2,2,1010,"4"
"Lasiurus borealis","Lasiurus borealis",1,1,"Lasiurus","Vespertilionidae","Vespertilionidae",12.33,4881497799139.39,28,3460,"1"
"Lasiurus cinereus","Lasiurus cinereus",2,3,"Lasiurus","Vespertilionidae","Vespertilionidae",27.06,21071173115759.7,35,3800,"3"
"Lasiurus ega","Lasiurus ega",1,5,"Lasiurus","Vespertilionidae","Vespertilionidae",12.2,15726170853770.1,6,751,"5"
