,virus.family,virus.genus,virus.species,host.genus,host.species,binomial,inTaxonomy,Species Count,Keep,binomial
46,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis New Jersey virus,Artibeus,phaeotis,Artibeus phaeotis,TRUE,5,,Artibeus phaeotis
47,Astroviridae,unassigned,bat astroviruses,Aselliscus,stoliczkanus,Aselliscus stoliczkanus,FALSE,1,,Aselliscus stoliczkanus
48,Rhabdoviridae,Lyssavirus,European bat lyssavirus 1,Barbastella,barbastellus,Barbastella barbastellus,TRUE,1,,Barbastella barbastellus
49,Flaviviridae,Flavivirus,Dengue virus,Carollia,brevicauda,Carollia brevicauda,TRUE,,,Carollia brevicauda
50,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Carollia,brevicauda,Carollia brevicauda,TRUE,2,,Carollia brevicauda
51,Retroviridae,unassigned,a retrovirus,Carollia,perspicillata,Carollia perspicillata,FALSE,,,Carollia perspicillata
52,Bunyaviridae,Orthobunyavirus,Bimiti,Carollia,perspicillata,Carollia perspicillata,FALSE,,,Carollia perspicillata
53,Bunyaviridae,Orthobunyavirus,Catu virus,Carollia,perspicillata,Carollia perspicillata,TRUE,,,Carollia perspicillata
54,Flaviviridae,Flavivirus,Dengue virus,Carollia,perspicillata,Carollia perspicillata,TRUE,,,Carollia perspicillata
55,Togaviridae,Alphavirus,Eastern equine encephalitis virus,Carollia,perspicillata,Carollia perspicillata,TRUE,,,Carollia perspicillata
56,Flaviviridae,Flavivirus,Ilheus virus,Carollia,perspicillata,Carollia perspicillata,TRUE,,,Carollia perspicillata
57,Bunyaviridae,Orthobunyavirus,Marituba virus,Carollia,perspicillata,Carollia perspicillata,TRUE,,,Carollia perspicillata
58,Rhabdoviridae,Lyssavirus,Rabies virus,Carollia,perspicillata,Carollia perspicillata,TRUE,,,Carollia perspicillata
59,Flaviviridae,Flavivirus,Rio Bravo virus,Carollia,perspicillata,Carollia perspicillata,TRUE,,,Carollia perspicillata
60,Flaviviridae,Flavivirus,St. Louis encephalitis virus,Carollia,perspicillata,Carollia perspicillata,TRUE,,,Carollia perspicillata
61,Flaviviridae,Flavivirus,Tamana bat virus,Carollia,perspicillata,Carollia perspicillata,FALSE,,,Carollia perspicillata
62,Togaviridae,Alphavirus,Venezuelan equine encephalitis virus,Carollia,perspicillata,Carollia perspicillata,TRUE,,,Carollia perspicillata
63,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis Indiana virus,Carollia,perspicillata,Carollia perspicillata,TRUE,,,Carollia perspicillata
64,Rhabdoviridae,Vesiculovirus,Vesicular stomatitis New Jersey virus,Carollia,perspicillata,Carollia perspicillata,TRUE,,,Carollia perspicillata
65,Flaviviridae,Flavivirus,Yellow Fever virus,Carollia,perspicillata,Carollia perspicillata,FALSE,15,,Carollia perspicillata
66,Herpesviridae,unassigned,Agua Preta virus,Carollia,subrufa,Carollia subrufa,FALSE,,,Carollia subrufa
