"","x"
"Rhinolophus euryale",2989980221113.34
"Rhinolophus ferrumequinum",9747141436926.92
"Rhinolophus hildebrandtii",3184501187709.87
"Rhinolophus hipposideros",6256453726833.12
"Rhinolophus lepidus",3509104566115.26
"Rhinolophus macrotis",2338402388383.22
"Rhinolophus mehelyi",1978080249981.77
"Rhinolophus pearsonii",3176330249668.15
"Rhinolophus pusillus",3970820376353.96
"Rhinolophus rouxii",864096202068.755
"Rhinolophus sinicus",2168997105326.95
"Rhogeessa parvula",448909734076.379
"Rhynchonycteris naso",11508828072950.2
"Rousettus aegyptiacus",3888094351141.78
"Rousettus amplexicaudatus",4281498885958.95
"Rousettus leschenaultii",6764789855016.88
"Rousettus madagascariensis",292740754640.015
"Saccolaimus flaviventris",6053678138693.44
"Scotophilus kuhlii",5226237736568.88
"Scotophilus nigrita",2195994823962.77
"Sturnira lilium",15289330248348
"Sturnira ludovici",2234368898699.7
"Syconycteris australis",1053996418214.33
"Tadarida brasiliensis",13833395317003.4
"Tadarida teniotis",3743229866983.7
"Taphozous melanopogon",5624365517584.87
"Taphozous perforatus",2114920099615.37
"Tonatia bidens",3599567983181.73
"Trachops cirrhosus",12642871514908
"Tylonycteris pachypus",4170176213547.65
"Uroderma bilobatum",12796601323289
"Vampyrodes caraccioli",8345540523306.85
"Vespertilio murinus",15732727058593.6
"Vespertilio sinensis",1566060551726.1
