"","log.scholarRefs.","log.Nm.","log.mass.","log.distrSize.","rand","AIC","boot","lambda","attempt","predictors","beta (Intercept)","beta log(scholarRefs)","beta log(Nm)","beta log(mass)","beta log(distrSize)","beta rand","dAIC","weight"
"14",FALSE,FALSE,TRUE,TRUE,FALSE,76.6608192878104,1,-6.79785977468356,2,"log(mass) + log(distrSize)",-40.8450276965271,NA,NA,-0.906320740116875,1.65298045515651,NA,7.78401700983345,0.0100329164395688
"15",FALSE,FALSE,TRUE,FALSE,TRUE,96.8022290716098,1,-6.16510068343919,1,"log(mass) + rand",-1.33500471185866,NA,NA,1.02144338854832,NA,4.72988957105918,27.9254267936329,4.24400250682393e-07
"16",FALSE,FALSE,FALSE,TRUE,TRUE,108.747746645446,1,-0.175794896345928,1,"log(distrSize) + rand",-4.20978118811659,NA,NA,NA,0.296708820444263,-0.117151311199115,39.8709443674693,1.08103423780036e-09
"17",TRUE,TRUE,TRUE,FALSE,FALSE,69.9292328496654,1,-7.67188339930026,2,"log(scholarRefs) + log(Nm) + log(mass)",-10.2215019556527,1.90650205528646,-0.220103475411954,-0.0104151980290196,NA,NA,1.05243057168845,0.290517713524923
"18",TRUE,TRUE,FALSE,TRUE,FALSE,130.038507280016,1,0.122085415652444,1,"log(scholarRefs) + log(Nm) + log(distrSize)",-21.1728617868245,1.15475764663754,0.391971070150442,NA,0.594462054416469,NA,61.1617050020388,2.57400578895254e-14
"19",TRUE,TRUE,FALSE,FALSE,TRUE,131.548070435366,1,0.0204245729807596,1,"log(scholarRefs) + log(Nm) + rand",-7.81388301856115,1.60554144559578,0.291702030551021,NA,NA,0.718862480039335,62.6712681573887,1.2100743215692e-14
"20",TRUE,FALSE,TRUE,TRUE,FALSE,128.006406634075,1,NA,5,"log(scholarRefs) + log(mass) + log(distrSize)",-21.9242759264947,1.24265718381491,NA,0.544761769062328,0.542807942828192,NA,59.1296043560982,7.11008131993049e-14
"21",TRUE,FALSE,TRUE,FALSE,TRUE,68.8768022779769,1,-7.65444814812452,1,"log(scholarRefs) + log(mass) + rand",-7.13489203541226,1.35513276067267,NA,0.106638889817318,NA,1.51768913089335,0,0.491705439141111
"22",TRUE,FALSE,FALSE,TRUE,TRUE,131.012466084171,1,0.231167026078324,1,"log(scholarRefs) + log(distrSize) + rand",-19.8992156251327,1.53382372546246,NA,NA,0.465419374985422,-0.025586263516389,62.1356638061944,1.58167427878822e-14
"23",FALSE,TRUE,TRUE,TRUE,FALSE,129.031354972017,1,NA,5,"log(Nm) + log(mass) + log(distrSize)",-34.031397864628,NA,0.632384154921858,0.541389300012822,1.25745087858061,NA,60.1545526940403,4.2590218114166e-14
"24",FALSE,TRUE,TRUE,FALSE,TRUE,140.458628818951,1,NA,5,"log(Nm) + log(mass) + rand",1.35012052307009,NA,0.679005950592011,0.186599554531073,NA,2.45374192293848,71.5818265409739,1.40575253950666e-16
"25",FALSE,TRUE,FALSE,TRUE,TRUE,76.0581119306376,1,-6.9398242078693,2,"log(Nm) + log(distrSize) + rand",-26.3989594305878,NA,0.0958577425050958,NA,1.01130050065321,2.47427397565674,7.18130965266073,0.013561365932662
"26",FALSE,FALSE,TRUE,TRUE,TRUE,76.2186033383276,1,-6.79787168951546,1,"log(mass) + log(distrSize) + rand",-34.1705234764148,NA,NA,-0.289636936339682,1.3293173178947,1.40147326033862,7.34180106035066,0.012515643052333
"27",TRUE,TRUE,TRUE,TRUE,FALSE,130.006532297809,1,NA,5,"log(scholarRefs) + log(Nm) + log(mass) + log(distrSize)",-24.6938602066726,0.941931597288464,0.395599298788861,0.487884870060056,0.709023409935014,NA,61.1297300198325,2.6154884014768e-14
"28",TRUE,TRUE,TRUE,FALSE,TRUE,131.91550446243,1,NA,5,"log(scholarRefs) + log(Nm) + log(mass) + rand",-9.35547181897591,1.6168320591692,0.238668031336298,0.379297171535589,NA,1.02114456573402,63.0387021844532,1.00698907737e-14
"29",TRUE,TRUE,FALSE,TRUE,TRUE,133.251824325672,1,0.112547487506882,1,"log(scholarRefs) + log(Nm) + log(distrSize) + rand",-20.8980176172953,1.14418896294263,0.397321972382953,NA,0.58379645843272,0.213417946865798,64.3750220476955,5.16233981042158e-15
"30",TRUE,FALSE,TRUE,TRUE,TRUE,131.117997530603,1,NA,5,"log(scholarRefs) + log(mass) + log(distrSize) + rand",-21.5255773327783,1.24048145749377,NA,0.563564088694188,0.51736694586516,0.598467639307735,62.241195252626,1.50037973522813e-14
"31",FALSE,TRUE,TRUE,TRUE,TRUE,132.100134683143,1,NA,5,"log(Nm) + log(mass) + log(distrSize) + rand",-33.5271733238483,NA,0.635196313952876,0.562896774941153,1.22545707774882,0.714762216278842,63.2233324051659,9.18190546064256e-15
"32",TRUE,TRUE,TRUE,TRUE,TRUE,133.467591744497,1,NA,5,"log(scholarRefs) + log(Nm) + log(mass) + log(distrSize) + rand",-24.285030922986,0.936566618956098,0.39952469751796,0.507896588578774,0.682831665780216,0.654925751767141,64.5907894665197,4.63439758146966e-15
"33",FALSE,FALSE,FALSE,FALSE,FALSE,136.227834018181,2,NA,5,"1",3.75,NA,NA,NA,NA,NA,67.383315261526,9.99794567659995e-16
"34",TRUE,FALSE,FALSE,FALSE,FALSE,126.622916417573,2,0.131477220278644,1,"log(scholarRefs)",-9.15043640401255,1.87639760036752,NA,NA,NA,NA,57.7783976609185,1.21784531357258e-13
"35",FALSE,TRUE,FALSE,FALSE,FALSE,108.111031116915,2,-2.99444976980503,1,"log(Nm)",4.14122834114192,NA,-0.170143620872812,NA,NA,NA,39.2665123602602,1.27466760061969e-09
"36",FALSE,FALSE,TRUE,FALSE,FALSE,105.623902307338,2,-3.90834174352544,1,"log(mass)",6.09081422842784,NA,NA,-0.522753137561699,NA,NA,36.7793835506833,4.42048688063523e-09
"37",FALSE,FALSE,FALSE,TRUE,FALSE,104.876158430547,2,-0.175794896345951,1,"log(distrSize)",-4.03800856182109,NA,NA,NA,0.288799162390233,NA,36.0316396738921,6.42451911720204e-09
"38",FALSE,FALSE,FALSE,FALSE,TRUE,136.121725899837,2,NA,5,"rand",1.5371302388626,NA,NA,NA,NA,4.33765587352599,67.2772071431824,1.05427002259382e-15
"39",TRUE,TRUE,FALSE,FALSE,FALSE,128.805537435789,2,0.0379208558878727,1,"log(scholarRefs) + log(Nm)",-7.93354112106272,1.67180921221808,0.264442694651069,NA,NA,NA,59.9610186791341,4.0892343202152e-14
"40",TRUE,FALSE,TRUE,FALSE,FALSE,70.8682175741771,2,-7.73784844517918,1,"log(scholarRefs) + log(mass)",-7.12550686271398,1.71876392562251,NA,-0.500248053308427,NA,NA,2.0236988175222,0.15580132729586
"41",TRUE,FALSE,FALSE,TRUE,FALSE,128.107409038409,2,0.229633632727277,1,"log(scholarRefs) + log(distrSize)",-19.8614415645751,1.53293314601357,NA,NA,0.463916724204128,NA,59.2628902817546,5.79747190132493e-14
"42",TRUE,FALSE,FALSE,FALSE,TRUE,127.12740048762,2,0.117881547530826,1,"log(scholarRefs) + rand",-9.90662743871597,1.77230155085676,NA,NA,NA,3.00089426286039,58.2828817309649,9.46334787873035e-14
"43",FALSE,TRUE,TRUE,FALSE,FALSE,108.145542736284,2,-4.00646439720286,1,"log(Nm) + log(mass)",6.45274268387384,NA,0.0675475014553092,-0.631729658459482,NA,NA,39.3010239796293,1.25286086661867e-09
"44",FALSE,TRUE,FALSE,TRUE,FALSE,101.011247659823,2,-0.175794896345958,1,"log(Nm) + log(distrSize)",-11.4828339663351,NA,0.82921919399992,NA,0.513606919754102,NA,32.1667289031686,4.43706035416841e-08
"45",FALSE,TRUE,FALSE,FALSE,TRUE,101.603450871515,2,-4.08443880058351,1,"log(Nm) + rand",2.06004069226327,NA,-0.45791910571334,NA,NA,4.98479319767498,32.7589321148599,3.2998944032016e-08
"46",FALSE,FALSE,TRUE,TRUE,FALSE,76.6608192878104,2,-6.79785977468356,2,"log(mass) + log(distrSize)",-40.8450276965271,NA,NA,-0.906320740116875,1.65298045515651,NA,7.81630053115549,0.00860446105259132
"47",FALSE,FALSE,TRUE,FALSE,TRUE,138.28548382961,2,NA,5,"log(mass) + rand",0.132227378867949,NA,NA,0.346403940626386,NA,4.60340800215916,69.4409650729548,3.57353296982638e-16
"48",FALSE,FALSE,FALSE,TRUE,TRUE,131.389183678677,2,0.00269595835002639,1,"log(distrSize) + rand",-28.3275110374961,NA,NA,NA,1.08072358301384,3.59348651432562,62.5446649220217,1.12359641242511e-14
"49",TRUE,TRUE,TRUE,FALSE,FALSE,69.9292328496654,2,-7.67188339930026,2,"log(scholarRefs) + log(Nm) + log(mass)",-10.2215019556527,1.90650205528646,-0.220103475411954,-0.0104151980290196,NA,NA,1.08471409301049,0.249154706527241
"50",TRUE,TRUE,FALSE,TRUE,FALSE,130.038507280016,2,0.122085415652444,1,"log(scholarRefs) + log(Nm) + log(distrSize)",-21.1728617868245,1.15475764663754,0.391971070150442,NA,0.594462054416469,NA,61.1939885233609,2.2075268635586e-14
"51",TRUE,TRUE,FALSE,FALSE,TRUE,130.016453076829,2,0.107528979559537,1,"log(scholarRefs) + log(Nm) + rand",-9.71004335619316,1.74518076298619,0.0496742852630918,NA,NA,2.90126689750207,61.1719343201746,2.23200419553563e-14
"52",TRUE,FALSE,TRUE,TRUE,FALSE,128.006406634075,2,NA,5,"log(scholarRefs) + log(mass) + log(distrSize)",-21.9242759264947,1.24265718381491,NA,0.544761769062328,0.542807942828192,NA,59.1618878774202,6.09777009173702e-14
"53",TRUE,FALSE,TRUE,FALSE,TRUE,70.8793329024696,2,-7.68865516829968,3,"log(scholarRefs) + log(mass) + rand",-3.49937603915245,1.25739347377718,NA,-0.78623969205147,NA,2.00903117003235,2.03481414581471,0.154937837560775
"54",TRUE,FALSE,FALSE,TRUE,TRUE,128.752096405045,2,0.197681238107332,1,"log(scholarRefs) + log(distrSize) + rand",-20.6291426920309,1.40505874999842,NA,NA,0.471554598339481,3.00498297714336,59.9075776483906,4.19997368641134e-14
"55",FALSE,TRUE,TRUE,TRUE,FALSE,129.031354972017,2,NA,5,"log(Nm) + log(mass) + log(distrSize)",-34.031397864628,NA,0.632384154921858,0.541389300012822,1.25745087858061,NA,60.1868362153624,3.65263555409879e-14
"56",FALSE,TRUE,TRUE,FALSE,TRUE,85.3508406732957,2,-7.93774056435592,3,"log(Nm) + log(mass) + rand",6.07281809926979,NA,-0.104442796995113,-1.45932180935383,NA,7.46332870521216,16.5063219166408,1.11611644070317e-04
"57",FALSE,TRUE,FALSE,TRUE,TRUE,131.846735217619,2,-0.0295670865601796,1,"log(Nm) + log(distrSize) + rand",-27.9831167471106,NA,0.586291871851244,NA,1.07635980558953,2.02675339487709,63.0022164609644,8.9382868815604e-15
"58",FALSE,FALSE,TRUE,TRUE,TRUE,79.4299844312054,2,-6.7977281040498,1,"log(mass) + log(distrSize) + rand",-36.4965073314885,NA,NA,-0.947263199787946,1.49966764646036,0.606882082457815,10.5854656745506,0.00215480067292437
"59",TRUE,TRUE,TRUE,TRUE,FALSE,130.006532297809,2,NA,5,"log(scholarRefs) + log(Nm) + log(mass) + log(distrSize)",-24.6938602066726,0.941931597288464,0.395599298788861,0.487884870060056,0.709023409935014,NA,61.1620135411546,2.24310331094303e-14
"60",TRUE,TRUE,TRUE,FALSE,TRUE,68.8445187566549,2,-7.59957518580667,3,"log(scholarRefs) + log(Nm) + log(mass) + rand",-6.48422710451614,1.41130793496546,-0.240569587772856,-0.280433419822163,NA,2.2233832179688,0,0.428560132775468
"61",TRUE,TRUE,FALSE,TRUE,TRUE,131.736679490645,2,0.169218602343832,1,"log(scholarRefs) + log(Nm) + log(distrSize) + rand",-21.3956548474998,1.24654153772482,0.196570391933646,NA,0.539106991167205,2.6396599314989,62.8921607339904,9.44392625304026e-15
"62",TRUE,FALSE,TRUE,TRUE,TRUE,128.106421690086,2,NA,5,"log(scholarRefs) + log(mass) + log(distrSize) + rand",-24.4928063281128,1.10613016124978,NA,0.644930623643398,0.59054086225604,3.52490061499574,59.2619029334307,5.80033466998637e-14
"63",FALSE,TRUE,TRUE,TRUE,TRUE,81.7513720478916,2,-6.59799087862673,4,"log(Nm) + log(mass) + log(distrSize) + rand",-39.2126509238964,NA,-0.156358116075262,-0.653690575484639,1.5549623346536,0.881956874740945,12.9068532912367,6.75031728365749e-04
"64",TRUE,TRUE,TRUE,TRUE,TRUE,131.521607974024,2,NA,5,"log(scholarRefs) + log(Nm) + log(mass) + log(distrSize) + rand",-25.3523258504883,0.996940817355554,0.163646101704817,0.610242590434769,0.653980598180663,3.13218565752197,62.6770892173692,1.05161016036288e-14
"65",FALSE,FALSE,FALSE,FALSE,FALSE,136.227834018181,3,NA,5,"1",3.75,NA,NA,NA,NA,NA,66.2986011685155,1.75668411320206e-15
"66",TRUE,FALSE,FALSE,FALSE,FALSE,126.622916417573,3,0.131477220278644,1,"log(scholarRefs)",-9.15043640401255,1.87639760036752,NA,NA,NA,NA,56.693683567908,2.13980910068125e-13
"67",FALSE,TRUE,FALSE,FALSE,FALSE,108.111031116915,3,-2.99444976980503,1,"log(Nm)",4.14122834114192,NA,-0.170143620872812,NA,NA,NA,38.1817982672497,2.23964841983767e-09
"68",FALSE,FALSE,TRUE,FALSE,FALSE,105.623902307338,3,-3.90834174352544,1,"log(mass)",6.09081422842784,NA,NA,-0.522753137561699,NA,NA,35.6946694576728,7.76699466771943e-09
"69",FALSE,FALSE,FALSE,TRUE,FALSE,104.876158430547,3,-0.175794896345951,1,"log(distrSize)",-4.03800856182109,NA,NA,NA,0.288799162390233,NA,34.9469255808817,1.12881696232518e-08
"70",FALSE,FALSE,FALSE,FALSE,TRUE,108.323739761501,3,-3.13541640302129,1,"rand",5.21677845493406,NA,NA,NA,NA,-1.68064376049951,38.3945069118357,2.0136813732068e-09
"71",TRUE,TRUE,FALSE,FALSE,FALSE,128.805537435789,3,0.0379208558878727,1,"log(scholarRefs) + log(Nm)",-7.93354112106272,1.67180921221808,0.264442694651069,NA,NA,NA,58.8763045861236,7.18496899047525e-14
"72",TRUE,FALSE,TRUE,FALSE,FALSE,70.8682175741771,3,-7.73784844517918,1,"log(scholarRefs) + log(mass)",-7.12550686271398,1.71876392562251,NA,-0.500248053308427,NA,NA,0.938984724511712,0.27374995356997
"73",TRUE,FALSE,FALSE,TRUE,FALSE,128.107409038409,3,0.229633632727277,1,"log(scholarRefs) + log(distrSize)",-19.8614415645751,1.53293314601357,NA,NA,0.463916724204128,NA,58.1781761887441,1.01864194057676e-13
"74",TRUE,FALSE,FALSE,FALSE,TRUE,76.4863877480497,3,-7.83440647407062,3,"log(scholarRefs) + rand",-6.07324389309825,1.70502656046288,NA,NA,NA,-3.68813745177916,6.55715489838433,0.0164961995584719
"75",FALSE,TRUE,TRUE,FALSE,FALSE,108.145542736284,3,-4.00646439720286,1,"log(Nm) + log(mass)",6.45274268387384,NA,0.0675475014553092,-0.631729658459482,NA,NA,38.2163098866189,2.20133300543201e-09
"76",FALSE,TRUE,FALSE,TRUE,FALSE,101.011247659823,3,-0.175794896345958,1,"log(Nm) + log(distrSize)",-11.4828339663351,NA,0.82921919399992,NA,0.513606919754102,NA,31.0820148101581,7.79611500763531e-08
"77",FALSE,TRUE,FALSE,FALSE,TRUE,110.674707316894,3,-3.0975788782971,1,"log(Nm) + rand",4.58924799633171,NA,-0.126291217091019,NA,NA,-0.654795509950472,40.7454744672282,6.21562256386806e-10
"78",FALSE,FALSE,TRUE,TRUE,FALSE,76.6608192878104,3,-6.79785977468356,2,"log(mass) + log(distrSize)",-40.8450276965271,NA,NA,-0.906320740116875,1.65298045515651,NA,6.731586438145,0.0151184258473521
"79",FALSE,FALSE,TRUE,FALSE,TRUE,108.232283346941,3,-3.89149613022436,1,"log(mass) + rand",5.99298013573714,NA,NA,-0.553831793124724,NA,0.29239769092543,38.3030504972753,2.1079012476285e-09
"80",FALSE,FALSE,FALSE,TRUE,TRUE,90.8358822015285,3,-5.40546788675604,1,"log(distrSize) + rand",-42.1909210793794,NA,NA,NA,1.69980876669897,-4.44652031322915,20.9066493518631,1.26307974892788e-05
"81",TRUE,TRUE,TRUE,FALSE,FALSE,69.9292328496654,3,-7.67188339930026,2,"log(scholarRefs) + log(Nm) + log(mass)",-10.2215019556527,1.90650205528646,-0.220103475411954,-0.0104151980290196,NA,NA,0,0.437776048043873
"82",TRUE,TRUE,FALSE,TRUE,FALSE,130.038507280016,3,0.122085415652444,1,"log(scholarRefs) + log(Nm) + log(distrSize)",-21.1728617868245,1.15475764663754,0.391971070150442,NA,0.594462054416469,NA,60.1092744303504,3.87872418606594e-14
"83",TRUE,TRUE,FALSE,FALSE,TRUE,127.905417361048,3,NA,5,"log(scholarRefs) + log(Nm) + rand",-7.62125498392104,1.41738862218081,0.353996295416087,NA,NA,2.62038744747644,57.9761845113829,1.12689509580044e-13
"84",TRUE,FALSE,TRUE,TRUE,FALSE,128.006406634075,3,NA,5,"log(scholarRefs) + log(mass) + log(distrSize)",-21.9242759264947,1.24265718381491,NA,0.544761769062328,0.542807942828192,NA,58.0771737844097,1.07140568598847e-13
"85",TRUE,FALSE,TRUE,FALSE,TRUE,73.5204888387038,3,-7.73346201092252,3,"log(scholarRefs) + log(mass) + rand",-6.78442991209916,1.69953605232187,NA,-0.421884745055281,NA,-0.636846763552844,3.59125598903849,0.0726809619793624
"86",TRUE,FALSE,FALSE,TRUE,TRUE,130.475235496186,3,0.0925442034687193,4,"log(scholarRefs) + log(distrSize) + rand",-16.5973030045193,1.36932646014093,NA,NA,0.359046236682833,1.71879261414847,60.5460026465204,3.11784535982102e-14
"87",FALSE,TRUE,TRUE,TRUE,FALSE,129.031354972017,3,NA,5,"log(Nm) + log(mass) + log(distrSize)",-34.031397864628,NA,0.632384154921858,0.541389300012822,1.25745087858061,NA,59.1021221223519,6.41784528217645e-14
"88",FALSE,TRUE,TRUE,FALSE,TRUE,111.03077640308,3,-4.08497027580689,1,"log(Nm) + log(mass) + rand",6.78658241743831,NA,0.100259995200426,-0.640065822367931,NA,-0.441736867340882,41.1015435534148,5.20193851794404e-10
"89",FALSE,TRUE,FALSE,TRUE,TRUE,128.47458209853,3,NA,5,"log(Nm) + log(distrSize) + rand",-26.5049291625986,NA,0.72937764185309,NA,1.00254518782873,2.90814267063428,58.5453492488643,8.47795167003591e-14
"90",FALSE,FALSE,TRUE,TRUE,TRUE,79.1939669726648,3,-6.7976922669933,2,"log(mass) + log(distrSize) + rand",-40.1770835572923,NA,NA,-0.801001911196156,1.63693909157676,-0.782159422963011,9.26473412299944,0.004260303544326
"91",TRUE,TRUE,TRUE,TRUE,FALSE,130.006532297809,3,NA,5,"log(scholarRefs) + log(Nm) + log(mass) + log(distrSize)",-24.6938602066726,0.941931597288464,0.395599298788861,0.487884870060056,0.709023409935014,NA,60.0772994481441,3.94123360744705e-14
"92",TRUE,TRUE,TRUE,FALSE,TRUE,71.7195458504885,3,-7.64572527405725,1,"log(scholarRefs) + log(Nm) + log(mass) + rand",-12.9122435156972,2.0654081190738,-0.340105408504557,0.021256088210949,NA,1.89810963271828,1.79031300082313,0.178850627346546
"93",TRUE,TRUE,FALSE,TRUE,TRUE,129.783888251946,3,NA,5,"log(scholarRefs) + log(Nm) + log(distrSize) + rand",-18.7032830486717,0.871212446473358,0.500574200672309,NA,0.527084980522545,2.46776748402907,59.8546554022802,4.40533274946385e-14
"94",TRUE,FALSE,TRUE,TRUE,TRUE,130.770673275668,3,NA,5,"log(scholarRefs) + log(mass) + log(distrSize) + rand",-19.9064401164221,1.21272515019403,NA,0.43054233468862,0.46724011329238,1.39806359119671,60.841440426003,2.68968284106314e-14
"95",FALSE,TRUE,TRUE,TRUE,TRUE,81.986054302005,3,-6.59804224904465,2,"log(Nm) + log(mass) + log(distrSize) + rand",-46.4982061687886,NA,-0.172729097204268,-0.62624235103441,1.80396692945899,0.441275333392145,12.0568214523396,0.00105474259102643
"96",TRUE,TRUE,TRUE,TRUE,TRUE,132.793130525217,3,NA,5,"log(scholarRefs) + log(Nm) + log(mass) + log(distrSize) + rand",-22.4292541341966,0.861289777486897,0.450052701592228,0.330288694567741,0.632816311951593,1.83317364805033,62.8638976755519,9.78430676791143e-15
"97",FALSE,FALSE,FALSE,FALSE,FALSE,136.227834018181,4,NA,5,"1",3.75,NA,NA,NA,NA,NA,66.2986011685155,1.79501744903988e-15
"98",TRUE,FALSE,FALSE,FALSE,FALSE,126.622916417573,4,0.131477220278644,1,"log(scholarRefs)",-9.15043640401255,1.87639760036752,NA,NA,NA,NA,56.693683567908,2.18650276647397e-13
"99",FALSE,TRUE,FALSE,FALSE,FALSE,108.111031116915,4,-2.99444976980503,1,"log(Nm)",4.14122834114192,NA,-0.170143620872812,NA,NA,NA,38.1817982672497,2.28852072100501e-09
"100",FALSE,FALSE,TRUE,FALSE,FALSE,105.623902307338,4,-3.90834174352544,1,"log(mass)",6.09081422842784,NA,NA,-0.522753137561699,NA,NA,35.6946694576728,7.93648149395683e-09
"101",FALSE,FALSE,FALSE,TRUE,FALSE,104.876158430547,4,-0.175794896345951,1,"log(distrSize)",-4.03800856182109,NA,NA,NA,0.288799162390233,NA,34.9469255808817,1.15344934750533e-08
"102",FALSE,FALSE,FALSE,FALSE,TRUE,95.4773688925906,4,-4.67015234623846,1,"rand",0.101837971387423,NA,NA,NA,NA,6.6428494406186,25.5481360429253,1.26741763060468e-06
