"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents"
"74",0.2,1e-03,1,142.966666666667,0,10,2,9,100,8e+05
"75",0.4,1e-03,2,120.433333333333,4.33333333333333,10,2,9,100,8e+05
"76",0.6,1e-03,2,123.066666666667,5.03333333333333,10,2,9,100,8e+05
"77",0.1,1e-03,1,136.9,0,10,2,9,100,8e+05
"78",0.2,1e-03,2,118.966666666667,4.93333333333333,10,2,9,100,8e+05
"79",0.4,1e-03,2,135.9,3.16666666666667,10,2,9,100,8e+05
"80",0.6,1e-03,2,60.5333333333333,20.4666666666667,10,2,9,100,8e+05
"81",0.1,1e-03,1,143.666666666667,0,10,2,9,100,8e+05
"82",0.2,1e-03,1,149.1,0,10,2,9,100,8e+05
"83",0.4,1e-03,2,97.4666666666667,7.93333333333333,10,2,9,100,8e+05
"84",0.6,1e-03,2,62.3666666666667,21.6666666666667,10,2,9,100,8e+05
"85",0.1,1e-03,1,137.1,0,10,2,9,100,8e+05
"86",0.2,1e-03,2,141.7,2.1,10,2,9,100,8e+05
"87",0.4,1e-03,2,122.433333333333,4.16666666666667,10,2,9,100,8e+05
"88",0.6,1e-03,2,51,23.2333333333333,10,2,9,100,8e+05
"89",0.1,1e-03,1,138.2,0,10,2,9,100,8e+05
"90",0.2,1e-03,1,151.666666666667,0,10,2,9,100,8e+05
"91",0.4,1e-03,2,122.6,3.83333333333333,10,2,9,100,8e+05
"92",0.6,1e-03,2,90.4,12.5666666666667,10,2,9,100,8e+05
"93",0.1,1e-03,1,143.3,0,10,2,9,100,8e+05
"94",0.2,1e-03,1,141.2,0,10,2,9,100,8e+05
"95",0.4,1e-03,2,74.8666666666667,21.6333333333333,10,2,9,100,8e+05
"96",0.6,1e-03,2,63.6666666666667,22.0333333333333,10,2,9,100,8e+05
"97",0.1,1e-03,1,142.333333333333,0,10,2,9,100,8e+05
"98",0.2,1e-03,1,144.233333333333,0,10,2,9,100,8e+05
"99",0.4,1e-03,2,132.133333333333,2.5,10,2,9,100,8e+05
"100",0.6,1e-03,2,79.9666666666667,15.8666666666667,10,2,9,100,8e+05
"101",0.1,1e-03,1,144.033333333333,0,10,2,9,100,8e+05
"102",0.2,1e-03,1,144.1,0,10,2,9,100,8e+05
"103",0.4,1e-03,2,117.866666666667,6.1,10,2,9,100,8e+05
"104",0.6,1e-03,2,55.2666666666667,25.5333333333333,10,2,9,100,8e+05
"105",0.1,1e-03,1,129.1,0,10,2,9,100,8e+05
"106",0.2,1e-03,1,145.133333333333,0,10,2,9,100,8e+05
"107",0.4,1e-03,2,81.9,18,10,2,9,100,8e+05
"108",0.6,1e-03,2,132.4,1.96666666666667,10,2,9,100,8e+05
"109",0.1,1e-03,1,142.266666666667,0,10,2,9,100,8e+05
"110",0.2,1e-03,1,142.1,0,10,2,9,100,8e+05
"111",0.4,1e-03,2,87,15.2666666666667,10,2,9,100,8e+05
"112",0.6,1e-03,2,95.7,13.2666666666667,10,2,9,100,8e+05
"113",0.1,1e-03,1,141.1,0,10,2,9,100,8e+05
"114",0.2,1e-03,1,143.733333333333,0,10,2,9,100,8e+05
"115",0.4,1e-03,2,73.0333333333333,18.7666666666667,10,2,9,100,8e+05
"116",0.6,1e-03,2,38.9,23.3333333333333,10,2,9,100,8e+05
"117",0.1,1e-03,1,144.1,0,10,2,9,100,8e+05
"118",0.2,1e-03,1,144.2,0,10,2,9,100,8e+05
"119",0.4,1e-03,2,131.766666666667,4.76666666666667,10,2,9,100,8e+05
"120",0.6,1e-03,2,80.4666666666667,17.7,10,2,9,100,8e+05
"121",0.1,1e-03,1,149.033333333333,0,10,2,9,100,8e+05
"122",0.2,1e-03,2,136.166666666667,1.6,10,2,9,100,8e+05
"123",0.4,1e-03,2,130.7,5,10,2,9,100,8e+05
"124",0.6,1e-03,2,95.9,11.9,10,2,9,100,8e+05
"125",0.1,1e-03,1,142.433333333333,0,10,2,9,100,8e+05
"126",0.2,1e-03,1,141.866666666667,0,10,2,9,100,8e+05
"127",0.4,1e-03,2,88.3666666666667,13.9333333333333,10,2,9,100,8e+05
"128",0.6,1e-03,2,90.9,13.5333333333333,10,2,9,100,8e+05
"129",0.1,1e-03,1,138.433333333333,0,10,2,9,100,8e+05
"130",0.2,1e-03,2,132.6,2.73333333333333,10,2,9,100,8e+05
"131",0.4,1e-03,2,113.033333333333,7.66666666666667,10,2,9,100,8e+05
"132",0.6,1e-03,2,107.5,9.13333333333333,10,2,9,100,8e+05
"133",0.1,1e-03,1,142.166666666667,0,10,2,9,100,8e+05
"134",0.2,1e-03,2,140.333333333333,2.23333333333333,10,2,9,100,8e+05
"135",0.4,1e-03,2,113.2,7.33333333333333,10,2,9,100,8e+05
"136",0.6,1e-03,2,70.6666666666667,19.6666666666667,10,2,9,100,8e+05
"137",0.1,1e-03,1,137.833333333333,0,10,2,9,100,8e+05
"138",0.2,1e-03,2,137.166666666667,1.93333333333333,10,2,9,100,8e+05
"139",0.4,1e-03,2,88.1333333333333,14.0666666666667,10,2,9,100,8e+05
"140",0.6,1e-03,2,62,19.8666666666667,10,2,9,100,8e+05
"141",0.1,1e-03,1,140.433333333333,0,10,2,9,100,8e+05
"142",0.2,1e-03,2,133.8,0.966666666666667,10,2,9,100,8e+05
"143",0.4,1e-03,2,96.7,12.2666666666667,10,2,9,100,8e+05
"144",0.6,1e-03,2,40.7666666666667,23.3,10,2,9,100,8e+05
"145",0.1,1e-03,1,141.933333333333,0,10,2,9,100,8e+05
"146",0.2,1e-03,2,141.933333333333,0.433333333333333,10,2,9,100,8e+05
