"transmission","dispersal","singleInf","doubleInf","nExtantDis","nColonies","maxDistance","meanK","nPathogens","nEvents","file"
10,0.01,3.82727272727273,35.5181818181818,2,10,40,2,2,5e+05,"150405_0075.RData"
2,0.01,16.2181818181818,33.2818181818182,2,10,100,9,2,5e+05,"150405_0076.RData"
5,0.01,0,0,0,10,40,2,2,5e+05,"150405_0077.RData"
10,0.01,137.118181818182,0,1,10,100,9,2,5e+05,"150405_0078.RData"
2,0.01,16.9454545454545,32.6818181818182,2,10,40,2,2,5e+05,"150405_0079.RData"
5,0.01,141.654545454545,0,1,10,100,9,2,5e+05,"150405_0080.RData"
10,0.01,3.84545454545455,35.5545454545455,2,10,40,2,2,5e+05,"150405_0081.RData"
2,0.01,137.172727272727,0,1,10,100,9,2,5e+05,"150405_0082.RData"
5,0.01,0,0,0,10,40,2,2,5e+05,"150405_0083.RData"
10,0.01,3.68181818181818,34.8545454545455,2,10,100,9,2,5e+05,"150405_0084.RData"
2,0.01,0,0,0,10,40,2,2,5e+05,"150405_0085.RData"
5,0.01,0,0,0,10,100,9,2,5e+05,"150405_0086.RData"
10,0.01,4.02727272727273,34.7545454545455,2,10,40,2,2,5e+05,"150405_0087.RData"
2,0.01,0,0,0,10,100,9,2,5e+05,"150405_0088.RData"
5,0.01,0,0,0,10,40,2,2,5e+05,"150405_0089.RData"
10,0.01,0,0,0,10,100,9,2,5e+05,"150405_0090.RData"
2,0.01,0,0,0,10,40,2,2,5e+05,"150405_0091.RData"
5,0.01,136.027272727273,0,1,10,100,9,2,5e+05,"150405_0092.RData"
10,0.01,3.82727272727273,37.6909090909091,2,10,40,2,2,5e+05,"150405_0093.RData"
2,0.01,149.290909090909,0,1,10,100,9,2,5e+05,"150405_0094.RData"
5,0.01,0,0,0,10,40,2,2,5e+05,"150405_0095.RData"
10,0.01,3.91818181818182,35.4636363636364,2,10,100,9,2,5e+05,"150405_0096.RData"
2,0.01,139.827272727273,0,1,10,40,2,2,5e+05,"150405_0097.RData"
5,0.01,0,0,0,10,100,9,2,5e+05,"150405_0098.RData"
10,0.01,3.98181818181818,35.1727272727273,2,10,40,2,2,5e+05,"150405_0099.RData"
2,0.01,140.645454545455,0,1,10,100,9,2,5e+05,"150405_0100.RData"
5,0.01,7.38181818181818,37.4090909090909,2,10,40,2,2,5e+05,"150405_0101.RData"
10,0.01,4.19090909090909,33.4090909090909,2,10,100,9,2,5e+05,"150405_0102.RData"
2,0.01,144.772727272727,0,1,10,40,2,2,5e+05,"150405_0103.RData"
5,0.01,141.854545454545,0,1,10,100,9,2,5e+05,"150405_0104.RData"
10,0.01,142.381818181818,0,1,10,40,2,2,5e+05,"150405_0105.RData"
2,0.01,0,0,0,10,100,9,2,5e+05,"150405_0106.RData"
5,0.01,141.063636363636,0,1,10,40,2,2,5e+05,"150405_0107.RData"
10,0.01,147.781818181818,0,1,10,100,9,2,5e+05,"150405_0108.RData"
2,0.01,142.7,0,1,10,40,2,2,5e+05,"150405_0109.RData"
5,0.01,7.33636363636364,33.2727272727273,2,10,100,9,2,5e+05,"150405_0110.RData"
10,0.01,144.572727272727,0,1,10,40,2,2,5e+05,"150405_0111.RData"
2,0.01,0,0,0,10,100,9,2,5e+05,"150405_0112.RData"
5,0.01,7.6,34.5363636363636,2,10,40,2,2,5e+05,"150405_0113.RData"
10,0.01,0,0,0,10,100,9,2,5e+05,"150405_0114.RData"
2,0.01,146.918181818182,0,1,10,40,2,2,5e+05,"150405_0115.RData"
