"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents","path2","extinctionTime","totalTime","survivalTime"
"63",0.3,0,1,45,0,2,2,1,120,8e+05,91,NA,1681.47912786241,NA
"64",0.4,0,2,27.3333333333333,9,2,2,1,120,8e+05,62,NA,1235.80024999057,NA
"65",0.1,0,1,112.5,0,2,2,1,120,8e+05,215,NA,1062.00273542099,NA
"66",0.2,0,1,103.5,0,2,2,1,120,8e+05,229,NA,1184.73979322604,NA
"67",0.3,0,2,39.6666666666667,12.1666666666667,2,2,1,120,8e+05,52,NA,1026.08131746555,NA
"68",0.4,0,2,26.3333333333333,11.5,2,2,1,120,8e+05,56,NA,1195.89367167718,NA
"69",0.1,0,1,65.1666666666667,0,2,2,1,120,8e+05,126,NA,1450.50787730729,NA
"70",0.2,0,1,85.6666666666667,0,2,2,1,120,8e+05,155,NA,1269.56622144374,NA
"71",0.3,0,2,34.3333333333333,8.5,2,2,1,120,8e+05,14,NA,1241.84121976544,NA
"72",0.4,0,2,30.8333333333333,8,2,2,1,120,8e+05,63,NA,1388.21766517232,NA
"73",0.1,0,1,67.1666666666667,0,2,2,1,120,8e+05,136,NA,1259.89082627232,NA
"74",0.2,0,1,76.3333333333333,0,2,2,1,120,8e+05,147,NA,1212.59457924547,NA
"75",0.3,0,1,65.6666666666667,0,2,2,1,120,8e+05,118,NA,1381.47355158219,NA
"76",0.4,0,2,25.8333333333333,7.5,2,2,1,120,8e+05,49,NA,1364.78736796179,NA
"77",0.1,0,1,67.1666666666667,0,2,2,1,120,8e+05,137,NA,1332.15936318588,NA
"78",0.2,0,1,54.6666666666667,0,2,2,1,120,8e+05,106,NA,1364.12372785471,NA
"79",0.3,0,2,26.5,6.83333333333333,2,2,1,120,8e+05,29,NA,1293.32587623978,NA
"80",0.4,0,1,61.5,0,2,2,1,120,8e+05,131,NA,1547.69695617849,NA
"81",0.1,0,1,76,0,2,2,1,120,8e+05,153,NA,1222.86344727569,NA
