"","transmission","dispersal","nExtantDis","singleInf","doubleInf","nColonies","nPathogens","meanK","maxDistance","nEvents"
"281",0.1,0.01,1,137.9,0,10,2,2,40,8e+05
"282",0.2,0.01,2,132.733333333333,2.3,10,2,2,40,8e+05
"283",0.4,0.01,2,54.5,23.0666666666667,10,2,2,40,8e+05
"284",0.6,0.01,2,42.9333333333333,26.6333333333333,10,2,2,40,8e+05
"285",0.1,0.01,1,143.3,0,10,2,2,40,8e+05
"286",0.2,0.01,1,138.966666666667,0,10,2,2,40,8e+05
"287",0.4,0.01,2,49.4666666666667,25.9666666666667,10,2,2,40,8e+05
"288",0.6,0.01,2,39.2666666666667,26.3333333333333,10,2,2,40,8e+05
"289",0.1,0.01,1,141.366666666667,0,10,2,2,40,8e+05
"290",0.2,0.01,2,125,6.06666666666667,10,2,2,40,8e+05
"291",0.4,0.01,2,51.4,22.2,10,2,2,40,8e+05
"292",0.6,0.01,2,39.0333333333333,28.7333333333333,10,2,2,40,8e+05
"293",0.1,0.01,1,141.7,0,10,2,2,40,8e+05
"294",0.2,0.01,2,136.6,2.86666666666667,10,2,2,40,8e+05
"295",0.4,0.01,2,51.8,23.2666666666667,10,2,2,40,8e+05
"296",0.6,0.01,2,41.8,25.7,10,2,2,40,8e+05
"297",0.1,0.01,1,134.333333333333,0,10,2,2,40,8e+05
"298",0.2,0.01,2,108.5,7.1,10,2,2,40,8e+05
"299",0.4,0.01,2,49.1,24.0333333333333,10,2,2,40,8e+05
"300",0.6,0.01,2,41.7333333333333,26.1666666666667,10,2,2,40,8e+05
"301",0.1,0.01,1,140.4,0,10,2,2,40,8e+05
"302",0.2,0.01,1,137.233333333333,0,10,2,2,40,8e+05
"303",0.4,0.01,2,52.5666666666667,23.9666666666667,10,2,2,40,8e+05
"304",0.6,0.01,2,40.7333333333333,26.1666666666667,10,2,2,40,8e+05
"305",0.1,0.01,1,146.866666666667,0,10,2,2,40,8e+05
"306",0.2,0.01,2,131.933333333333,2.1,10,2,2,40,8e+05
"307",0.4,0.01,2,51.4,23.7666666666667,10,2,2,40,8e+05
"308",0.6,0.01,2,38.4333333333333,27.8666666666667,10,2,2,40,8e+05
"309",0.1,0.01,1,152.5,0,10,2,2,40,8e+05
"310",0.2,0.01,2,117.4,6.1,10,2,2,40,8e+05
"311",0.4,0.01,2,51.2,20.0666666666667,10,2,2,40,8e+05
"312",0.6,0.01,2,39.1666666666667,28.6333333333333,10,2,2,40,8e+05
"313",0.1,0.01,1,140.3,0,10,2,2,40,8e+05
"314",0.2,0.01,1,143.4,0,10,2,2,40,8e+05
"315",0.4,0.01,2,52.1,22.4,10,2,2,40,8e+05
"316",0.6,0.01,2,39.3333333333333,27.8333333333333,10,2,2,40,8e+05
"317",0.1,0.01,1,141.7,0,10,2,2,40,8e+05
"318",0.2,0.01,1,134.366666666667,0,10,2,2,40,8e+05
"319",0.4,0.01,2,49.8666666666667,25.4666666666667,10,2,2,40,8e+05
"320",0.6,0.01,2,42.0666666666667,24.6,10,2,2,40,8e+05
"321",0.1,0.01,1,149.5,0,10,2,2,40,8e+05
"322",0.2,0.01,1,142.4,0,10,2,2,40,8e+05
"323",0.4,0.01,2,49.7333333333333,24.5,10,2,2,40,8e+05
"324",0.6,0.01,2,40.3,27.2,10,2,2,40,8e+05
"325",0.1,0.01,1,142.233333333333,0,10,2,2,40,8e+05
"326",0.2,0.01,2,110.266666666667,8.86666666666667,10,2,2,40,8e+05
"327",0.4,0.01,2,50.4,24.7666666666667,10,2,2,40,8e+05
"328",0.6,0.01,2,40.0666666666667,29.8333333333333,10,2,2,40,8e+05
"329",0.1,0.01,1,153,0,10,2,2,40,8e+05
"330",0.2,0.01,1,142.733333333333,0,10,2,2,40,8e+05
"331",0.4,0.01,1,142.4,0,10,2,2,40,8e+05
"332",0.6,0.01,2,40.7,27.4666666666667,10,2,2,40,8e+05
"333",0.1,0.01,1,147.3,0,10,2,2,40,8e+05
"334",0.2,0.01,1,133.3,0,10,2,2,40,8e+05
"335",0.4,0.01,2,70.5,19.1333333333333,10,2,2,40,8e+05
