namemodel,REM,NW5,NW6,NW7,NW7,NW7,SW4,SW4,SW7,SW7,SW8,REM,NW5,NW6,NW7,NW7,NW7,SW4,SW4,SW7,SW7,SW8,REM,NW5,NW6,NW7,NW7,NW7,SW4,SW4,SW7,SW7,SW8,REM,NW5,NW6,NW7,NW7,NW7,SW4,SW4,SW7,SW7,SW8,REM,NW5,NW6,NW7,NW7,NW7,SW4,SW4,SW7,SW7,SW8,REM,NW5,NW6,NW7,NW7,NW7,SW4,SW4,SW7,SW7,SW8,REM,NW5,NW6,NW7,NW7,NW7,SW4,SW4,SW7,SW7,SW8,REM,NW5,NW6,NW7,NW7,NW7,SW4,SW4,SW7,SW7,SW8,REM,NW5,NW6,NW7,NW7,NW7,SW4,SW4,SW7,SW7,SW8,REM,NW5,NW6,NW7,NW7,NW7,SW4,SW4,SW7,SW7,SW8,REM,NW5,NW6,NW7,NW7,NW7,SW4,SW4,SW7,SW7,SW8,REM,NW5,NW5,NW6,NW6,NW7,SW4,SW4,SW4,SW6,SW5,REM,NW5,NW5,NW6,NW6,NW7,SW4,SW4,SW4,SW6,SW5,REM,NW5,NW5,NW6,NW6,NW7,SW4,SW4,SW4,SW6,SW5,REM,NW5,NW5,NW6,NW6,NW7,SW4,SW4,SW4,SW6,SW5,REM,NW5,NW5,NW6,NW6,NW7,SW4,SW4,SW4,SW6,SW5,REM,NW5,NW5,NW6,NW6,NW7,SW4,SW4,SW4,SW6,SW5,REM,NW5,NW5,NW6,NW6,NW7,SW4,SW4,SW4,SW6,SW5,REM,NW5,NW5,NW6,NW6,NW7,SW4,SW4,SW4,SW6,SW5,REM,NW5,NW5,NW6,NW6,NW7,SW4,SW4,SW4,SW6,SW5,REM,NW5,NW5,NW6,NW6,NW7,SW4,SW4,SW4,SW6,SW5,REM,NW5,NW5,NW6,NW6,NW7,SW4,SW4,SW4,SW6,SW5,NW1,NW2,NW3,NW3,NW4,NW4,SW1,SW1,SW2,SW2,SW3,NW1,NW2,NW3,NW3,NW4,NW4,SW1,SW1,SW2,SW2,SW3,NW1,NW2,NW3,NW3,NW4,NW4,SW1,SW1,SW2,SW2,SW3,NW1,NW2,NW3,NW3,NW4,NW4,SW1,SW1,SW2,SW2,SW3,NW1,NW2,NW3,NW3,NW4,NW4,SW1,SW1,SW2,SW2,SW3,NW1,NW2,NW3,NW3,NW4,NW4,SW1,SW1,SW2,SW2,SW3,NW1,NW2,NW3,NW3,NW4,NW4,SW1,SW1,SW2,SW2,SW3,NW1,NW2,NW3,NW3,NW4,NW4,SW1,SW1,SW2,SW2,SW3,NW1,NW2,NW3,NW3,NW4,NW4,SW1,SW1,SW2,SW2,SW3,NW1,NW2,NW3,NW3,NW4,NW4,SW1,SW1,SW2,SW2,SW3,NW1,NW2,NW3,NW3,NW4,NW4,SW1,SW1,SW2,SW2,SW3,NW1,NW2,NW2,NW2,NW2,NW4,SW1,SW3,SW3,SW3,SW3,NW1,NW2,NW2,NW2,NW2,NW4,SW1,SW3,SW3,SW3,SW3,NW1,NW2,NW2,NW2,NW2,NW4,SW1,SW3,SW3,SW3,SW3,NW1,NW2,NW2,NW2,NW2,NW4,SW1,SW3,SW3,SW3,SW3,NW1,NW2,NW2,NW2,NW2,NW4,SW1,SW3,SW3,SW3,SW3,NW1,NW2,NW2,NW2,NW2,NW4,SW1,SW3,SW3,SW3,SW3,NW1,NW2,NW2,NW2,NW2,NW4,SW1,SW3,SW3,SW3,SW3,NW1,NW2,NW2,NW2,NW2,NW4,SW1,SW3,SW3,SW3,SW3,NW1,NW2,NW2,NW2,NW2,NW4,SW1,SW3,SW3,SW3,SW3,NW1,NW2,NW2,NW2,NW2,NW4,SW1,SW3,SW3,SW3,SW3,NW1,NW2,NW2,NW2,NW2,NW4,SW1,SW3,SW3,SW3,SW3,NE1,NE2,NE3,NE3,NE3,NE3,SE3,SE4,SE4,SE4,SE4,NE1,NE2,NE3,NE3,NE3,NE3,SE3,SE4,SE4,SE4,SE4,NE1,NE2,NE3,NE3,NE3,NE3,SE3,SE4,SE4,SE4,SE4,NE1,NE2,NE3,NE3,NE3,NE3,SE3,SE4,SE4,SE4,SE4,NE1,NE2,NE3,NE3,NE3,NE3,SE3,SE4,SE4,SE4,SE4,NE1,NE2,NE3,NE3,NE3,NE3,SE3,SE4,SE4,SE4,SE4,NE1,NE2,NE3,NE3,NE3,NE3,SE3,SE4,SE4,SE4,SE4,NE1,NE2,NE3,NE3,NE3,NE3,SE3,SE4,SE4,SE4,SE4,NE1,NE2,NE3,NE3,NE3,NE3,SE3,SE4,SE4,SE4,SE4,NE1,NE2,NE3,NE3,NE3,NE3,SE3,SE4,SE4,SE4,SE4,NE1,NE2,NE3,NE3,NE3,NE3,SE3,SE4,SE4,SE4,SE4,NE1,NE1,NE1,NE1,NE1,NE2,SE2,SE2,SE2,SE3,SE4,NE1,NE1,NE1,NE1,NE1,NE2,SE2,SE2,SE2,SE3,SE4,NE1,NE1,NE1,NE1,NE1,NE2,SE2,SE2,SE2,SE3,SE4,NE1,NE1,NE1,NE1,NE1,NE2,SE2,SE2,SE2,SE3,SE4,NE1,NE1,NE1,NE1,NE1,NE2,SE2,SE2,SE2,SE3,SE4,NE1,NE1,NE1,NE1,NE1,NE2,SE2,SE2,SE2,SE3,SE4,NE1,NE1,NE1,NE1,NE1,NE2,SE2,SE2,SE2,SE3,SE4,NE1,NE1,NE1,NE1,NE1,NE2,SE2,SE2,SE2,SE3,SE4,NE1,NE1,NE1,NE1,NE1,NE2,SE2,SE2,SE2,SE3,SE4,NE1,NE1,NE1,NE1,NE1,NE2,SE2,SE2,SE2,SE3,SE4,NE1,NE1,NE1,NE1,NE1,NE2,SE2,SE2,SE2,SE3,SE4,Gas,Gas,Gas,Gas,Gas,Gas,SE1,SE1,SE1,SE1,SE1,Gas,Gas,Gas,Gas,Gas,Gas,SE1,SE1,SE1,SE1,SE1,Gas,Gas,Gas,Gas,Gas,Gas,SE1,SE1,SE1,SE1,SE1,Gas,Gas,Gas,Gas,Gas,Gas,SE1,SE1,SE1,SE1,SE1,Gas,Gas,Gas,Gas,Gas,Gas,SE1,SE1,SE1,SE1,SE1,Gas,Gas,Gas,Gas,Gas,Gas,SE1,SE1,SE1,SE1,SE1,Gas,Gas,Gas,Gas,Gas,Gas,SE1,SE1,SE1,SE1,SE1,Gas,Gas,Gas,Gas,Gas,Gas,SE1,SE1,SE1,SE1,SE1,Gas,Gas,Gas,Gas,Gas,Gas,SE1,SE1,SE1,SE1,SE1,Gas,Gas,Gas,Gas,Gas,Gas,SE1,SE1,SE1,SE1,SE1
signal_angle,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198,6.28318,5.71198,5.14078,4.56958,3.9984,3.4272,2.856,2.2848,1.713596,1.142398,0.571198
camera_width,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,0.698132,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,1.396264,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.0944,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,2.79252,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,3.49066,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,5.58506,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318,6.28318
Radius,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
