namemodel,REM,NW5,NW6,NW7,SW6,SW9,SW8,SW7,SW5,SW4,NW1,NW2,NW3,NW4,SW1,SW2,SW3,NE3,SE3,SE4,NE1,NE2,SE2,gas,SE1
iter9,0.1961442007,0.1901365192,-0.2744184268,2.8189825685,3.4593702044,1.2064030919,1.1862004915,1.8557252868,4.7050524617,1.6778371753,0.1224281059,0.3076997565,0.5495357901,0.3651199454,0.4861388073,3.1600615753,-0.0174728791,0.8309383133,0.8097958723,2.2749020447,0.2894793636,0.1577514669,0.0547931871,0.100309115,0.1583620973
iter10,0.3269485665,0.262571851,0.3699505913,1.1279955714,1.2841131216,1.6475497817,3.8190761992,8.2132539568,0.970495886,3.1567875342,-0.0813116711,-0.0563648,-0.1678599574,1.0887400694,1.7560366286,1.0299619009,2.5774934737,-0.1593655451,0.4303921686,0.3008460309,-0.4730809766,-0.5757982621,-0.4685059405,-0.6860729492,-0.0772619901
iter11,-0.671921136,-0.6428697972,-0.6408243391,0.0471585216,1.180529451,0.9123052986,1.6050670814,-0.7143394946,-0.1979850058,-2.6850663835,-0.6063334042,-0.6895205504,-0.6080800752,-0.0809472544,-0.0940731283,-0.0683707437,-0.8315799702,-0.3186451867,0.0286705999,-1.2345308686,0.0489401959,0.0089896338,-0.0969635599,-0.0682013273,-0.6572597439
iter12,0.2793833425,0.0452658555,-0.0090900076,1.3546226947,2.4235334983,-1.4404770471,-7.1911313055,-10.7240654856,-0.4270989062,-7.4177075321,-0.222362286,-0.1829959501,-0.1352510598,-0.9730816539,-1.75807717,0.0148362748,-2.7650843114,0.8655643223,-0.01596513,-0.1691673057,0.2383008173,0.1577514669,-0.0446336472,0.1156282461,-1.0922580592
iter13,1.2069052091,1.2525213865,0.963780863,0.6747413247,0.2482764155,-1.0728548056,1.1862004915,4.6963232032,1.1079642262,3.7483676777,0.9138787781,1.0041710819,0.7859502978,1.0689148605,0.9240346077,1.0965275157,3.2389554851,0.699359479,0.7949172957,-0.0124961935,0.171768707,0.0500273809,-0.0289346733,-0.0069248028,1.8802304287
iter14,1.266361739,1.312884163,1.2922827154,2.1216683429,2.5478339031,1.6107875575,-1.0278086263,-1.5259388993,2.0244198276,1.7517846932,-0.1126562522,0.006950775,-0.0863377134,1.078827465,0.3328752771,1.479279801,0.9492792915,0.1868945452,0.489906475,0.9275304797,0.074529469,-0.0730858604,-0.0446336472,-0.0937332125,-1.0560081996
iter15,0.9690790895,1.1076507228,1.5070723881,1.7207126631,0.9940788439,1.8681231266,3.4002096093,8.0779873894,1.4516350767,7.6675861289,-0.0264586542,0.0306941157,0.0604023259,0.5633720341,1.2524564581,2.0950117381,5.7321584515,-0.1524403433,0.4527100335,5.6276638458,-0.022709769,-0.0217886765,-0.0184686908,-0.14990336,2.224604095
iter16,-1.4329647188,-1.5845291114,-1.6515992695,-1.8704555988,-2.217014945,-4.1608816344,-3.7205224182,1.4499255845,-3.4284910008,-0.2447982913,-0.9432876507,-0.8636383818,-1.2602580275,-1.9742547023,-2.3601838956,-2.7975609516,0.8475159051,-0.7964841114,-1.2657655658,1.9302255978,-0.4372559941,-0.5142416415,-0.4475739754,-0.5686262772,1.0102337981
iter17,0.3864050964,0.298789517,0.4457587111,-2.445739835,-3.2321349169,0.5814452813,3.2805334408,1.9909918543,-0.335453346,2.4912598727,1.6269679976,1.6689846198,1.5767160649,0.1073922299,-0.2363892634,-1.1167791772,1.3054511439,1.1979740091,0.7502815658,-3.2085868824,1.1748682149,1.091360213,1.1484883637,0.9632868348,1.3364825346
iter18,-2.7528996828,-2.9608004168,-4.0774591025,-4.7991753465,-2.5277659568,0.9858297469,-0.3695896994,-0.3085397923,0.2602427949,2.4173123547,0.1224281059,-0.0167925656,-0.0292721426,-2.7276126396,-2.0864990203,-0.8671581216,2.6283751668,1.0525447711,0.4006350153,1.0528673695,-0.4730809766,-0.6527440379,-0.5103698707,-0.6452219328,0.7021099914
iter19,-1.1594646812,-1.2827152287,-1.120942431,-1.0685442394,0.0203923402,-0.1170369776,-1.0278086263,4.9668563381,-0.5874786364,2.9349449803,-0.8570900528,-0.8715528286,-1.2684102519,-0.9433438406,-0.9041803591,-0.5842542586,0.542225746,-0.8172597168,-0.908679727,-1.9865522072,-1.0667521138,-1.1092889742,-1.0755329284,-1.2069234072,-1.7810053917
iter20,0.4458616263,0.3832974042,0.142526232,-1.3126042183,-2.0927145402,-0.447896995,-2.8229511542,-3.8254705459,-0.1979850058,-2.7590139015,1.4153920753,1.2495189352,1.3810626792,0.6624980785,0.5737179674,-0.8172339105,-2.1036222999,1.3849544579,1.0478530982,-2.613236656,1.2669895982,1.1272682417,0.9810326428,1.0143506052,-0.0047622709
iter21,-2.3129213614,-2.3933903172,-2.864529186,-3.8403682862,-5.6559928092,-4.3814549793,-8.9862738335,-2.2022717365,-1.9163392585,-4.2379642604,-1.1705358635,-1.1406440226,-1.129822437,-1.9346042845,-1.5938662448,-2.8974093738,-1.0859884361,-0.7895589096,-0.930997592,-2.331228654,-0.1711275533,-0.2628854406,-0.3690791062,-0.3694775727,-1.5816311639
iter22,0.6836877459,0.7696191741,0.6479136972,-0.3014985912,0.4140102885,0.4343963847,1.4255528286,2.5320581241,0.5810022554,0.716519442,-0.1675092691,-0.1829959501,-0.118946611,0.7021484963,0.4751914123,-0.0184465326,3.1371920988,-0.2493931686,0.3485599972,0.9275304797,0.2331829626,0.1372325934,0.2536468556,0.0747772298,0.3033615357
