"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"namemodel","NW1","SW1","NE1","SE3","NW1","SW1","NE1","SE3","NW1","SW1","NE1","SE3"
"signal_angle","6.28318","2.856","6.28318","2.856","6.28318","2.856","6.28318","2.856","6.28318","2.856","6.28318","2.856"
"camera_width","2.0944","2.0944","3.49066","3.49066","2.0944","2.0944","3.49066","3.49066","2.0944","2.0944","3.49066","3.49066"
"Radius","10","10","10","10","10","10","10","10","10","10","10","10"
"Prop_time_still","0","0","0","0","0.5","0.5","0.5","0.5","0.75","0.75","0.75","0.75"
"iter1","1.65340192763887","0.447458011596948","0.727913087715042","0.642659861633315","-0.25903544581889","-1.78756215387849","0.727913087715042","0.695032451327146","-0.442923654805205","-2.01877113651388","0.907168785201738","0.869607750306563"
"iter2","-0.111924878629834","-1.99308124955439","0.190145995254972","-0.911060299283479","-1.1233100280546","-3.30326548448827","0.369401692741669","-0.753942530202025","-1.23364295344639","-3.25188571056929","0.465923991388344","-0.771400060099949"
"iter3","0.108740972153759","-0.220479049349739","0.355612792934995","0.380796913164198","0.016796867660592","-0.374618371106682","0.576235189841692","0.590287271939484","-0.00159195323803754","-0.528757692863605","0.45213509158167","0.450627032755954"
"iter4","-0.847477714575113","-0.657207127661032","-0.51308789488512","-0.282589222957584","0.255851539342815","-1.04255543205335","-0.51308789488512","-0.212759103365809","0.274240360241445","-0.914105997255904","-0.416565596238445","-0.160386513671998"
"iter5","-0.829088893676484","0.935565863827216","-0.292465497978442","0.468084562653897","-2.98058093881645","-1.86463181475696","-0.416565596238445","0.345881853368311","-2.87024801342466","-1.65911271908104","-0.388987796625117","0.310966793572424"
"iter6","0.825904987200409","1.42367371605746","1.04505778326843","0.537914682245653","1.48790253955119","1.52643326389543","1.03126888346176","0.537914682245653","1.34079197236211","1.19246473342209","1.15536898172178","0.642659861633315"
"iter7","1.83729013662519","3.53024444673546","1.07263558288176","1.46316376683657","1.24884786786895","3.04213659450521","1.08642448268843","1.49807882663246","0.899460270794946","2.81092761186981","1.05884668307509","1.53299388642835"
"iter8","0.43973974832913","0.164869255042579","0.0108902977682762","-0.40479193224319","2.03956716651015","2.09161077700415","0.107412596414951","-0.300046752855528","1.70856839033476","1.73195235957133","-0.0304764016517247","-0.457164521937001"
"iter9","-0.553256580197002","0.704356881191821","-1.87818897574534","-0.980890418875254","-0.810700072777854","-0.0406498406333381","-2.05744467323204","-1.15546571785467","-0.810700072777854","-0.0920296145523126","-2.11260027245871","-1.2078383075485"
"iter10","-0.865866535473743","0.139179368083082","-1.10601058657188","-0.701569940508194","-0.295813087616149","1.9888512291662","-1.07843278695856","-0.719027470406118","-0.442923654805205","1.7833321334903","-1.21632178502525","-0.82377264979378"
"iter11","-0.718755968284687","-0.991175658134376","-0.333832197398443","-0.0730988641822987","0.384573285633241","1.08970518558414","-0.140787600105073","0.15384902449095","0.127129793052389","1.03832541166516","-0.333832197398443","-0.12547145387611"
"iter12","-0.111924878629834","-1.29945430164822","-0.457932295658465","0.415711972960086","-1.23364295344639","-2.91791718009595","-0.609610193531814","0.310966793572424","-1.16008766985185","-2.94360706705544","-0.347621097205116","0.468084562653897"
"iter13","-0.590034221994261","-0.811346449417955","-1.00948828792521","-1.2951259570382","0.605239136416815","0.344698463758999","-0.912965989278532","-1.2078383075485","0.531683852822297","0.421768124637452","-1.02327718773188","-1.36495607662998"
"iter14","-0.130313699528464","0.473147898556426","0.0660458969949505","0.15384902449095","0.0719633303565001","1.93747145524723","-0.0580542012650715","0.0491038451033071","0.274240360241445","2.32281975963955","-0.0166875018450706","0.0141887853074197"
"iter15","-0.994588281764169","0.0107299332856557","-0.98191048831188","-0.369876872447302","-1.21525413254776","0.0877995941641077","-0.98191048831188","-0.387334402345227","-1.16008766985185","0.139179368083082","-0.74749919159851","-0.0381838043864113"
"iter16","-1.36236469973682","-2.37842955394671","-1.57483317999862","-2.63935575917969","-0.810700072777854","-2.68670819746055","-1.53346648057862","-2.53461057979205","-0.626811863791539","-2.50687898874413","-1.53346648057862","-2.62189822928177"
