"","SW7","SW8","SW4","SW5","SW9","SW6","NW7","NW6","NW5","REM","SW3","SW2","SW1","NW4","NW3","NW2","NW1","SE4","SE3","NE3","SE2","NE2","NE1","SE1","gas"
"callwidth-10",0.390121116268842,0.283446744953505,0.292020715408687,0.197467008810065,0.222296894357497,0.17675733132444,0.153974064455842,0.106293978647942,0.100016123411658,NA,0.225912956394757,0.175074622034126,0.128881471194326,0.110532441022979,0.0864501655970424,0.0846824840948047,NA,0.166982527214855,0.0919209837836138,0.0914935566198255,0.0699882893435113,0.0699382792749902,0.069976296184351,0.112930858093566,0.0695934400875925
"camerawidth-10",0.369855241142284,0.265966764945003,0.284253406630581,0.191938359841745,0.207938232258612,0.16664060165673,0.145000746375997,0.104304849439372,0.100810256265076,NA,0.222327483994798,0.173394483023062,0.130487119754301,0.11121972644232,0.0885009766230303,0.0881808936517921,NA,0.165949099338097,0.0957140158685153,0.0947089243747974,0.0717460739360017,0.0709051718385708,0.0707319446750248,0.108494149526628,0.0697075424747007
"cameraradius-10",0.382022108333161,0.277653367316937,0.289741229267968,0.198660395737588,0.219012441008933,0.178132755427348,0.155790214703198,0.112849847154739,0.109113141064636,NA,0.225364918888068,0.177918155971887,0.135604026365717,0.116203286107456,0.093254075823492,0.0929668828430838,NA,0.167379783829091,0.0983361810216978,0.0977449045881317,0.0773175215240661,0.0776476343964628,0.0777514402048345,0.11412757281575,0.0773260445417696
"speed-10",0.382022108333161,0.277653367316936,0.289741229267968,0.198660395737588,0.219012441008933,0.178132755427348,0.155790214703198,0.112849847154739,0.109113141064636,NA,0.225364918888068,0.177918155971887,0.135604026365717,0.116203286107456,0.0932540758234921,0.0929668828430838,NA,0.167379783829091,0.0983361810216977,0.0977449045881316,0.0773175215240663,0.0776476343964628,0.0777514402048345,0.114127572815749,0.0773260445417695
"callwidth-1",0.347996500945769,0.252898038964286,0.263593402279759,0.180455544289423,0.199353587292563,0.161812505914674,0.141433583871336,0.101888303414579,0.0982197925889881,NA,0.204916675921839,0.161451018528001,0.122687309904997,0.105130115357233,0.0841036960895386,0.083680281036006,NA,0.152119813163961,0.0888281519936211,0.0882991842841369,0.0696135805846082,0.0698828709568165,0.069976296184351,0.103637634925576,0.0695934400875925
"camerawidth-1",0.346257318216293,0.251407889910015,0.262939632340539,0.180027188427671,0.198142897588261,0.160929929963383,0.140675862924774,0.101832366166067,0.0984565798353252,NA,0.204623057419002,0.16136107502368,0.122838480897537,0.105210777437269,0.0843645285624624,0.0841003915597595,NA,0.15204427549201,0.0891744365712082,0.0886008060839262,0.0696887141629191,0.0699234888597788,0.0700169683887002,0.102765719709906,0.0695935545874704
"cameraradius-1",0.347292825757419,0.252412152106306,0.263401117516335,0.180600359761444,0.19910221909903,0.161938868570316,0.141627467911998,0.102590770140672,0.099193764604215,NA,0.204877198989152,0.161743778156261,0.123276387605198,0.105639351006778,0.0847764325668111,0.084515348039167,NA,0.152163439844628,0.0893965282015434,0.0888590041710288,0.0702886559309694,0.0705887585422389,0.0706831274589405,0.103752338923409,0.0702964041288814
"speed-1",0.347292825757419,0.252412152106306,0.263401117516335,0.180600359761444,0.19910221909903,0.161938868570316,0.141627467911998,0.102590770140671,0.0991937646042149,NA,0.204877198989152,0.161743778156261,0.123276387605197,0.105639351006778,0.084776432566811,0.0845153480391671,NA,0.152163439844628,0.0893965282015434,0.0888590041710287,0.0702886559309695,0.0705887585422388,0.0706831274589403,0.103752338923409,0.0702964041288813
"callwidth0",0.343819897499845,0.249888030585243,0.260767106341171,0.17879435616383,0.19711119690804,0.160319479884613,0.140211193232878,0.101564862439265,0.0982018269581728,NA,0.202828426999261,0.160126340374699,0.122043623729145,0.10458295749671,0.0839286682411429,0.0836701945587753,NA,0.150641805446182,0.088502562919528,0.0879704141293184,0.0695857693716599,0.0698828709568165,0.069976296184351,0.102714815534174,0.0695934400875925
"camerawidth0",0.343819897499845,0.249888030585243,0.260767106341171,0.17879435616383,0.19711119690804,0.160319479884613,0.140211193232878,0.101564862439265,0.0982018269581728,NA,0.202828426999261,0.160126340374699,0.122043623729145,0.10458295749671,0.0839286682411429,0.0836701945587753,NA,0.150641805446182,0.088502562919528,0.0879704141293184,0.0695857693716599,0.0698828709568165,0.069976296184351,0.102714815534174,0.0695934400875925
"cameraradius0",0.343819897499845,0.249888030585243,0.260767106341171,0.17879435616383,0.19711119690804,0.160319479884613,0.140211193232878,0.101564862439265,0.0982018269581728,NA,0.202828426999261,0.160126340374699,0.122043623729145,0.10458295749671,0.0839286682411429,0.0836701945587753,NA,0.150641805446182,0.088502562919528,0.0879704141293184,0.0695857693716599,0.0698828709568165,0.069976296184351,0.102714815534174,0.0695934400875925
"speed0",0.343819897499845,0.249888030585243,0.260767106341171,0.17879435616383,0.19711119690804,0.160319479884613,0.140211193232878,0.101564862439265,0.0982018269581728,NA,0.202828426999261,0.160126340374699,0.122043623729145,0.10458295749671,0.0839286682411429,0.0836701945587753,NA,0.150641805446182,0.088502562919528,0.0879704141293184,0.0695857693716599,0.0698828709568165,0.069976296184351,0.102714815534174,0.0695934400875925
"callwidth1",0.339732884501678,0.24694621803998,0.257999988172161,0.177174031372985,0.194923221645411,0.158857328014992,0.139020578573096,0.101273195377393,0.0982018269580446,NA,0.200783772228145,0.158835525101717,0.121408215917115,0.104046361947257,0.0837705050669343,0.0836701945587034,NA,0.149194706805317,0.0881801444321375,0.0876470382632202,0.0695601659668384,0.0698828709568165,0.069976296184351,0.101811577663269,0.0695934400875925
"camerawidth1",0.341416552547013,0.24838643712789,0.258630186926183,0.17757829401162,0.196090184400937,0.15971364350427,0.139749583157076,0.101298760442826,0.0979483890066045,NA,0.201065002222575,0.158910358603254,0.121258987071306,0.10396258583849,0.0834972884233256,0.0832443763149444,NA,0.149264971945756,0.0878407378542102,0.0873489292391718,0.0695013707995309,0.0698482396323045,0.0699416185618072,0.102714815533816,0.0695934400875925
"cameraradius1",0.340415740098857,0.247413891668557,0.25818525380314,0.177024115013693,0.195159600899049,0.158732158301597,0.138822963596909,0.100559269741846,0.0972295316417551,NA,0.200820224751744,0.158540931064058,0.120835271018956,0.103547482670011,0.0830976913278642,0.0828417767908666,NA,0.149150302421962,0.0876262999203248,0.0870994199300183,0.0688968013580789,0.0691909613433828,0.0692834615686642,0.101697837162549,0.0689043961263293
"speed1",0.340415740098857,0.247413891668557,0.25818525380314,0.177024115013693,0.195159600899049,0.158732158301597,0.138822963596909,0.100559269741847,0.0972295316417552,NA,0.200820224751744,0.158540931064058,0.120835271018956,0.10354748267001,0.0830976913278643,0.0828417767908668,NA,0.149150302421962,0.0876262999203246,0.0870994199300183,0.0688968013580789,0.0691909613433827,0.0692834615686644,0.101697837162549,0.0689043961263293
"callwidth10",0.306569891446137,0.223220980371397,0.23549098927567,0.164249515619209,0.177425814064126,0.147004283348524,0.129638553301843,0.100040035039124,0.0982018269580446,NA,0.184147085833521,0.148597835712618,0.116065826197698,0.0996872343954284,0.0830983196391835,0.0836701945587034,NA,0.137422909840487,0.0854286945798234,0.0849845670735972,0.0694294477612266,0.0698828709568165,0.069976296184351,0.0944763795991352,0.0695934400875925
"camerawidth10",0.321208929907917,0.235642516037527,0.240865694767002,0.167335186127579,0.187355855394096,0.154460386122692,0.13572793254507,0.0989651443023833,0.0957249774216265,NA,0.186473881951487,0.148744420088247,0.114626433169158,0.0986936518435134,0.079805597337829,0.0795985084486031,NA,0.137919945834602,0.0823016480663674,0.0821270969559638,0.0692703887760286,0.069727405838254,0.0698206232271023,0.102714815533816,0.0695934400875925
"cameraradius10",0.312563543181677,0.227170936895675,0.237061005764701,0.1625403237853,0.179191997189127,0.145744981713285,0.127464721120799,0.0923316931266044,0.0892743881437934,NA,0.184389479090237,0.145569400340635,0.110948748844678,0.0950754159061005,0.0762987893101299,0.0760638132352503,NA,0.136947095860165,0.0804568753813891,0.0799731037539259,0.0632597903378724,0.0635298826880151,0.0636148147130464,0.0933771050310677,0.0632667637159933
"speed10",0.312563543181677,0.227170936895675,0.237061005764701,0.1625403237853,0.179191997189127,0.145744981713285,0.127464721120798,0.0923316931266044,0.0892743881437933,NA,0.184389479090237,0.145569400340635,0.110948748844678,0.0950754159061005,0.0762987893101299,0.0760638132352503,NA,0.136947095860165,0.0804568753813891,0.0799731037539258,0.0632597903378724,0.063529882688015,0.0636148147130464,0.0933771050310677,0.0632667637159933
