"","SW7","SW8","SW4","SW5","SW9","SW6","NW7","NW6","NW5","REM","SW3","SW2","SW1","NW4","NW3","NW2","NW1","SE4","SE3","NE3","SE2","NE2","NE1","SE1","gas"
"callwidth-10",13.7195193105048,13.6140770284811,12.1746795530688,10.482053875585,13.1057574959887,10.2244527142069,9.91982013764768,4.78031834529531,2.00780416465992,NA,11.4752262399877,9.44733807123006,5.68060764157116,5.83231462365471,3.18546185395931,1.3739760313933,NA,10.8913124428979,4.07590036065122,4.1540862593435,0.706107605788106,0.237311924928238,0.236407211043531,9.97367814406687,0.0570581014710652
"camerawidth-10",7.81205754621871,6.60756934934727,9.19100296028168,7.38879542771654,5.79999932056602,3.91574131578607,3.51390032991746,2.81951497378741,2.8177510595097,NA,9.70599904141884,8.3970045607873,6.99721206813848,6.49037488236939,5.63327535935052,5.56194583847838,NA,10.2050240300912,8.37049353278512,7.81438434894992,3.23538280281809,1.62308681813733,1.31882359987393,5.65314814724999,0.221107315908832
"cameraradius-10",11.358674816502,11.2919150535248,11.2990545926171,11.1497494041476,11.4346114144236,11.0821561421607,11.21634308934,11.2428291846653,11.2859761590693,NA,11.2048008247251,11.2249641862388,11.1929881942834,11.2620206503012,11.3064945238275,11.2912859582291,NA,11.1551263165051,11.3393934289636,11.2704719326384,11.2521353993821,11.2865548011029,11.3737857900484,11.1390559859548,11.1745090016345
"speed-10",11.358674816502,11.2919150535248,11.2990545926171,11.1497494041476,11.4346114144236,11.0821561421607,11.21634308934,11.2428291846653,11.2859761590693,NA,11.2048008247251,11.2249641862388,11.1929881942834,11.2620206503012,11.3064945238275,11.2912859582291,NA,11.155126316505,11.3393934289636,11.2704719326384,11.252135399382,11.2865548011029,11.3737857900484,11.1390559859548,11.1745090016345
"callwidth-1",1.4402788236132,1.36922646246446,1.25482156857794,0.964203015343997,1.43208957299379,0.904979573501846,0.967355479653778,0.437381338423706,0.175701934305684,NA,1.11475310348038,0.930586063662628,0.601501057667808,0.659709872821631,0.384755363857564,0.174231952706024,NA,1.02114282062071,0.574096529163789,0.517688855117133,0.166939397093525,0.157899320992641,0.236407211043531,0.923805054898877,0.0570581014710652
"camerawidth-1",0.933310562369746,0.771929395377996,1.00368721555507,0.724539510634246,0.816084673359959,0.354612296055291,0.42642963961133,0.382240654247473,0.417204466388607,NA,0.969869031515608,0.874358170605318,0.725458692550149,0.736941991768021,0.69608061117531,0.677149109905133,NA,0.970979059650303,0.966171088311661,0.861047929936828,0.275049057912003,0.216113927516554,0.294667448575675,0.0747215987407672,0.0572227221728064
"cameraradius-1",1.23515892409268,1.17446823047706,1.18095872056101,1.0452267310433,1.30419219493061,0.983778311055174,1.10576644485454,1.1298447133321,1.16906923551755,NA,1.09527347702283,1.11360380567166,1.08453472207585,1.14729150027387,1.18772229438861,1.1738963256628,NA,1.0501148331864,1.21763038996687,1.15497448421673,1.13830490852916,1.16959527372995,1.24889617277125,1.03550544177708,1.06773545603137
"speed-1",1.23515892409269,1.17446823047705,1.18095872056101,1.04522673104331,1.30419219493058,0.983778311055156,1.10576644485454,1.12984471333207,1.16906923551755,NA,1.09527347702283,1.11360380567166,1.08453472207583,1.14729150027385,1.1877222943886,1.1738963256628,NA,1.05011483318641,1.21763038996687,1.1549744842167,1.13830490852913,1.16959527372993,1.24889617277124,1.03550544177707,1.06773545603137
"callwidth0",0.222807334851768,0.162723548172289,0.169149133355411,0.0347744637328871,0.291150272981284,-0.0260594720553893,0.0947087804060037,0.118546266198761,0.157378543162383,NA,0.0843207422526044,0.102467767614953,0.0736893748550733,0.135818585271118,0.175845071444718,0.16215736240618,NA,0.0396136848545502,0.205454086067207,0.143424739374541,0.12692185944385,0.157899320992641,0.236407211043531,0.0251503873593047,0.0570581014710652
"camerawidth0",0.222807334851768,0.162723548172289,0.169149133355411,0.0347744637328871,0.291150272981284,-0.0260594720553893,0.0947087804060037,0.118546266198761,0.157378543162383,NA,0.0843207422526044,0.102467767614953,0.0736893748550733,0.135818585271118,0.175845071444718,0.16215736240618,NA,0.0396136848545502,0.205454086067207,0.143424739374541,0.12692185944385,0.157899320992641,0.236407211043531,0.0251503873593047,0.0570581014710652
"cameraradius0",0.222807334851768,0.162723548172289,0.169149133355411,0.0347744637328871,0.291150272981284,-0.0260594720553893,0.0947087804060037,0.118546266198761,0.157378543162383,NA,0.0843207422526044,0.102467767614953,0.0736893748550733,0.135818585271118,0.175845071444718,0.16215736240618,NA,0.0396136848545502,0.205454086067207,0.143424739374541,0.12692185944385,0.157899320992641,0.236407211043531,0.0251503873593047,0.0570581014710652
"speed0",0.222807334851768,0.162723548172289,0.169149133355411,0.0347744637328871,0.291150272981284,-0.0260594720553893,0.0947087804060037,0.118546266198761,0.157378543162383,NA,0.0843207422526044,0.102467767614953,0.0736893748550733,0.135818585271118,0.175845071444718,0.16215736240618,NA,0.0396136848545502,0.205454086067207,0.143424739374541,0.12692185944385,0.157899320992641,0.236407211043531,0.0251503873593047,0.0570581014710652
"callwidth1",-0.968548718910467,-1.01644440161547,-0.893791190791771,-0.871791204713793,-0.822102344323064,-0.937845639035985,-0.755253514991299,-0.168967363289011,0.157378543031678,NA,-0.924600378652713,-0.704481257481103,-0.44733419085468,-0.377959528102933,-0.0129358298559139,0.162157362320056,NA,-0.921389063135642,-0.1595985165798,-0.22469864653494,0.0900811355858298,0.157899320992641,0.236407211043531,-0.854435516612259,0.0570581014710652
