Model,Distance,Mean,Standard.Error
2,1035.828,0.118833824,0.145763528
2,1020.51,0.051379794,0.146718924
2,1005.192,0.13591991,0.141996567
2,989.874,0.014991989,0.146724534
2,974.556,0.038438766,0.144084477
2,959.238,-0.009035427,0.142615502
2,943.92,0.074817899,0.150252911
2,928.602,-0.092732468,0.153689788
2,913.284,0.078886394,0.152403294
2,897.966,-0.037053347,0.152496343
2,882.648,0.087726861,0.156289107
2,867.33,0.058424043,0.148892822
2,852.012,0.03763555,0.153148865
2,836.694,-0.041150199,0.16706377
2,821.376,0.093098254,0.152890587
2,806.058,-0.111784486,0.145923015
2,790.74,0.082547821,0.153833309
2,775.422,-0.04738396,0.16929267
2,760.104,-0.101405088,0.158109815
2,744.786,-0.074922422,0.167225952
2,729.468,0.125330973,0.1708605
2,714.15,-0.024873753,0.1746762
2,698.832,0.003328394,0.178169388
2,683.514,-0.016226829,0.178603059
2,668.196,0.106437618,0.168677042
2,652.878,0.140466512,0.173863216
2,637.56,0.230258844,0.174985262
2,622.242,0.121125673,0.175665779
2,606.924,0.020576865,0.176883868
2,591.606,-0.060878209,0.17163938
2,576.288,0.217772086,0.18397013
2,560.97,-0.062278796,0.160596945
2,545.652,0.223830737,0.179951971
2,530.334,0.14434849,0.187956505
2,515.016,0.259416707,0.186940285
2,499.698,-0.111346594,0.179861661
2,484.38,0.341142733,0.173592334
2,469.062,0.056185979,0.192254675
2,453.744,0.052856497,0.195983867
2,438.426,-0.074647476,0.193470845
2,423.108,0.17812166,0.192695729
2,407.79,0.07788988,0.204303826
2,392.472,0.154132347,0.22145785
2,377.154,-0.072214748,0.213547791
2,361.836,-0.134159426,0.23919607
2,346.518,-0.083930687,0.250945532
2,331.2,-0.15326274,0.219588041
2,315.882,-0.203718039,0.21850828
2,300.564,0.327770331,0.210010108
2,285.246,0.025641545,0.244791095
2,269.928,-0.372750905,0.249078023
2,254.61,-0.107657727,0.267035137
2,239.292,0.215228146,0.242472475
2,223.974,0.166580058,0.271602335
2,208.656,-0.036889737,0.270711159
2,193.338,0.031320932,0.276194181
2,178.02,-0.070198693,0.287528115
2,162.702,-0.016426905,0.303822835
2,147.384,0.46549898,0.292600473
2,132.066,0.042468743,0.354593355
2,116.748,-0.298143619,0.371814025
2,101.43,0.476998037,0.335956417
2,86.112,1.011453428,0.442561599
2,70.794,-0.231830478,0.474213671
2,55.476,0.053431989,0.524378211
2,40.158,1.690949662,0.699077291
2,24.84,1.271800664,0.719436714
2,1863,154.5332714,0.713383478
3,1863,0.007757895,0.068011815
3,1847.682,-0.017652047,0.056767053
3,1832.364,0.073378662,0.062487632
3,1817.046,0.021256681,0.065662079
3,1801.728,0.043291063,0.066481659
3,1786.41,-0.036276316,0.06469508
3,1771.092,-0.029530474,0.065951152
3,1755.774,0.034159481,0.066834218
3,1740.456,0.036230253,0.067049903
3,1725.138,-0.005043077,0.060566839
3,1709.82,-0.062759715,0.065735729
3,1694.502,0.042798746,0.071099415
3,1679.184,-0.041993805,0.060913982
3,1663.866,0.016898168,0.073930333
3,1648.548,0.008923974,0.070151351
3,1633.23,0.048393323,0.070729072
3,1617.912,0.059408619,0.068458756
3,1602.594,0.046868636,0.071475713
3,1587.276,-0.063963538,0.071634001
3,1571.958,0.019616654,0.072189786
3,1556.64,-0.044368441,0.067564727
3,1541.322,0.044308664,0.069939364
3,1526.004,0.079961807,0.068796464
3,1510.686,0.016479711,0.067695119
3,1495.368,-0.037096153,0.063365863
3,1480.05,0.058323785,0.073174426
3,1464.732,0.024825475,0.07387308
3,1449.414,0.088631665,0.070176289
3,1434.096,-0.079545608,0.075221405
3,1418.778,0.017637581,0.069973473
3,1403.46,0.006135893,0.067878609
3,1388.142,-0.002718822,0.066700147
3,1372.824,-0.024437323,0.072667363
3,1357.506,-0.009998514,0.076203825
3,1342.188,0.014280378,0.067094526
3,1326.87,-0.082154747,0.071567594
3,1311.552,0.10722852,0.070759415
3,1296.234,-0.012411408,0.068837543
3,1280.916,0.078528068,0.075484894
