"transmission","dispersal","singleInf","doubleInf","nExtantDis","nColonies","maxDistance","meanK","nPathogens","nEvents","file"
5,0.001,143.081818181818,0,1,10,100,8.4,2,5e+05,"150327_185.RData"
10,0.001,148.790909090909,0,1,10,100,8.2,2,5e+05,"150327_186.RData"
2,0.001,66.5727272727273,20.4181818181818,2,10,100,8.6,2,5e+05,"150327_187.RData"
10,0.001,137.672727272727,0,1,10,100,9,2,5e+05,"150327_189.RData"
2,0.001,148.136363636364,0,1,10,100,9,2,5e+05,"150327_190.RData"
5,0.001,139.554545454545,0,1,10,100,8.8,2,5e+05,"150327_191.RData"
2,0.001,143.427272727273,0,1,10,100,9,2,5e+05,"150327_193.RData"
5,0.001,34.2636363636364,30.9090909090909,2,10,100,9,2,5e+05,"150327_194.RData"
2,0.001,143.590909090909,0,1,10,100,9,2,5e+05,"150327_196.RData"
10,0.001,136.863636363636,0,1,10,100,8.4,2,5e+05,"150327_198.RData"
2,0.001,141.718181818182,0,1,10,100,8.6,2,5e+05,"150327_19.RData"
2,0.001,143.454545454545,0,1,10,100,9,2,5e+05,"150327_1.RData"
5,0.001,140.536363636364,0,1,10,100,8.4,2,5e+05,"150327_200.RData"
2,0.001,76.1727272727273,17.2727272727273,2,10,100,9,2,5e+05,"150327_202.RData"
5,0.001,140.790909090909,0,1,10,100,8.6,2,5e+05,"150327_203.RData"
10,0.001,72.1545454545455,17.7454545454545,2,10,100,8.2,2,5e+05,"150327_204.RData"
2,0.001,143.6,0,1,10,100,9,2,5e+05,"150327_205.RData"
5,0.001,145.9,0,1,10,100,9,2,5e+05,"150327_206.RData"
2,0.001,141.690909090909,0,1,10,100,8.6,2,5e+05,"150327_208.RData"
5,0.001,142.990909090909,0,1,10,100,8.2,2,5e+05,"150327_20.RData"
2,0.001,138.2,0,1,10,100,9,2,5e+05,"150327_211.RData"
2,0.001,145.736363636364,0,1,10,100,9,2,5e+05,"150327_214.RData"
5,0.001,149.818181818182,0,1,10,100,9,2,5e+05,"150327_215.RData"
2,0.001,146.472727272727,0,1,10,100,9,2,5e+05,"150327_220.RData"
5,0.001,142,0,1,10,100,9,2,5e+05,"150327_221.RData"
10,0.001,144.318181818182,0,1,10,100,9,2,5e+05,"150327_222.RData"
2,0.001,135.036363636364,0,1,10,100,9,2,5e+05,"150327_223.RData"
5,0.001,150.618181818182,0,1,10,100,8.8,2,5e+05,"150327_224.RData"
10,0.001,17.3090909090909,32.8272727272727,2,10,100,8.8,2,5e+05,"150327_225.RData"
2,0.001,153.254545454545,0,1,10,100,9,2,5e+05,"150327_226.RData"
10,0.001,32.6090909090909,30.1636363636364,2,10,100,9,2,5e+05,"150327_228.RData"
2,0.001,144.654545454545,0,1,10,100,8.6,2,5e+05,"150327_229.RData"
2,0.001,144,0,1,10,100,9,2,5e+05,"150327_22.RData"
5,0.001,146.790909090909,0,1,10,100,9,2,5e+05,"150327_230.RData"
10,0.001,142.981818181818,0,1,10,100,8.8,2,5e+05,"150327_231.RData"
2,0.001,51.9818181818182,23.6636363636364,2,10,100,8.8,2,5e+05,"150327_232.RData"
5,0.001,145.954545454545,0,1,10,100,9,2,5e+05,"150327_233.RData"
10,0.001,154.2,0,1,10,100,8.4,2,5e+05,"150327_234.RData"
5,0.001,149.390909090909,0,1,10,100,9,2,5e+05,"150327_236.RData"
10,0.001,71.5,17.1818181818182,2,10,100,9,2,5e+05,"150327_237.RData"
5,0.001,74.9181818181818,17.1454545454545,2,10,100,9,2,5e+05,"150327_239.RData"
5,0.001,21.8272727272727,32.3363636363636,2,10,100,9,2,5e+05,"150327_23.RData"
10,0.001,141.218181818182,0,1,10,100,8.6,2,5e+05,"150327_240.RData"
2,0.001,140.081818181818,0,1,10,100,9,2,5e+05,"150327_241.RData"
5,0.001,136.318181818182,0,1,10,100,9,2,5e+05,"150327_242.RData"
10,0.001,141.127272727273,0,1,10,100,9,2,5e+05,"150327_243.RData"
10,0.001,147.472727272727,0,1,10,100,8.4,2,5e+05,"150327_246.RData"
2,0.001,144.145454545455,0,1,10,100,9,2,5e+05,"150327_247.RData"
10,0.001,16.4272727272727,34.0909090909091,2,10,100,8.4,2,5e+05,"150327_249.RData"
10,0.001,144.190909090909,0,1,10,100,7.8,2,5e+05,"150327_24.RData"
2,0.001,139.109090909091,0,1,10,100,9,2,5e+05,"150327_250.RData"
2,0.001,141.563636363636,0,1,10,100,9,2,5e+05,"150327_253.RData"
5,0.001,142.1,0,1,10,100,9,2,5e+05,"150327_254.RData"
10,0.001,150.872727272727,0,1,10,100,9,2,5e+05,"150327_255.RData"
2,0.001,138.672727272727,0,1,10,100,9,2,5e+05,"150327_256.RData"
5,0.001,144.354545454545,0,1,10,100,8.4,2,5e+05,"150327_257.RData"
10,0.001,142.663636363636,0,1,10,100,8.8,2,5e+05,"150327_258.RData"
2,0.001,144.918181818182,0,1,10,100,8.2,2,5e+05,"150327_259.RData"
2,0.001,67.3272727272727,20.3636363636364,2,10,100,8.6,2,5e+05,"150327_25.RData"
5,0.001,7.42727272727273,35.2727272727273,2,10,100,8.4,2,5e+05,"150327_260.RData"
10,0.001,48.6090909090909,22.7181818181818,2,10,100,9,2,5e+05,"150327_261.RData"
2,0.001,136.454545454545,0,1,10,100,9,2,5e+05,"150327_262.RData"
5,0.001,150.554545454545,0,1,10,100,8.8,2,5e+05,"150327_263.RData"
2,0.001,138.281818181818,0,1,10,100,9,2,5e+05,"150327_265.RData"
5,0.001,57.5090909090909,20.7636363636364,2,10,100,8.8,2,5e+05,"150327_266.RData"
2,0.001,152.081818181818,0,1,10,100,9,2,5e+05,"150327_268.RData"
5,0.001,142.345454545455,0,1,10,100,8.8,2,5e+05,"150327_269.RData"
5,0.001,140.345454545455,0,1,10,100,8.4,2,5e+05,"150327_26.RData"
2,0.001,73.3090909090909,19.3,2,10,100,8.2,2,5e+05,"150327_271.RData"
