"transmission","dispersal","singleInf","doubleInf","nExtantDis","nColonies","maxDistance","meanK","nPathogens","nEvents","file"
2,0.001,16.9,33.0818181818182,2,10,100,9,2,5e+05,"150527_160.RData"
5,0.001,20.2181818181818,33.4090909090909,2,10,100,9,2,5e+05,"150527_161.RData"
10,0.001,4.07272727272727,37.2090909090909,2,10,100,9,2,5e+05,"150527_162.RData"
2,0.001,45.9363636363636,26.2454545454545,2,10,100,9,2,5e+05,"150527_163.RData"
5,0.001,23.3,29.9363636363636,2,10,100,8.6,2,5e+05,"150527_164.RData"
10,0.001,3.60909090909091,34.9818181818182,2,10,100,9,2,5e+05,"150527_165.RData"
2,0.001,29.9454545454545,29.7818181818182,2,10,100,8.8,2,5e+05,"150527_166.RData"
5,0.001,7.38181818181818,36.5909090909091,2,10,100,9,2,5e+05,"150527_167.RData"
10,0.001,3.84545454545455,37.4,2,10,100,9,2,5e+05,"150527_168.RData"
2,0.001,29.6,30.4636363636364,2,10,100,9,2,5e+05,"150527_169.RData"
2,0.001,28.9363636363636,32.0727272727273,2,10,100,9,2,5e+05,"150527_16.RData"
5,0.001,7.2,36.0090909090909,2,10,100,9,2,5e+05,"150527_170.RData"
10,0.001,3.96363636363636,37.4545454545455,2,10,100,9,2,5e+05,"150527_171.RData"
2,0.001,16.4181818181818,35.2363636363636,2,10,100,9,2,5e+05,"150527_172.RData"
5,0.001,7.7,35.9181818181818,2,10,100,8.2,2,5e+05,"150527_173.RData"
10,0.001,4.01818181818182,36.2545454545455,2,10,100,9,2,5e+05,"150527_174.RData"
2,0.001,29.5636363636364,27.4636363636364,2,10,100,9,2,5e+05,"150527_175.RData"
5,0.001,7.44545454545455,36.6454545454545,2,10,100,9,2,5e+05,"150527_176.RData"
10,0.001,16.8727272727273,32.5818181818182,2,10,100,8.4,2,5e+05,"150527_177.RData"
2,0.001,16.7454545454545,31.7818181818182,2,10,100,8.2,2,5e+05,"150527_178.RData"
5,0.001,21.9,30.2636363636364,2,10,100,9,2,5e+05,"150527_179.RData"
5,0.001,7.7,36.0545454545455,2,10,100,8.8,2,5e+05,"150527_17.RData"
10,0.001,3.69090909090909,37.2545454545455,2,10,100,9,2,5e+05,"150527_180.RData"
2,0.001,28.5181818181818,29.5,2,10,100,8.8,2,5e+05,"150527_181.RData"
5,0.001,7.54545454545454,32.1727272727273,2,10,100,8.6,2,5e+05,"150527_182.RData"
10,0.001,3.89090909090909,36.8454545454545,2,10,100,8.4,2,5e+05,"150527_183.RData"
2,0.001,28.4909090909091,26.4272727272727,2,10,100,8.8,2,5e+05,"150527_184.RData"
5,0.001,7.24545454545455,35.5545454545455,2,10,100,8.2,2,5e+05,"150527_185.RData"
10,0.001,4.10909090909091,34.7818181818182,2,10,100,8.8,2,5e+05,"150527_186.RData"
2,0.001,15.8727272727273,33.6272727272727,2,10,100,9,2,5e+05,"150527_187.RData"
5,0.001,19.1454545454545,33.7272727272727,2,10,100,8.4,2,5e+05,"150527_188.RData"
10,0.001,4.46363636363636,36.0363636363636,2,10,100,9,2,5e+05,"150527_189.RData"
10,0.001,4.1,36.4454545454545,2,10,100,8.6,2,5e+05,"150527_18.RData"
2,0.001,16.3636363636364,33.7636363636364,2,10,100,9,2,5e+05,"150527_190.RData"
5,0.001,7.49090909090909,36.2,2,10,100,8.4,2,5e+05,"150527_191.RData"
10,0.001,4.18181818181818,33.8818181818182,2,10,100,9,2,5e+05,"150527_192.RData"
2,0.001,28.2090909090909,27.0454545454545,2,10,100,9,2,5e+05,"150527_193.RData"
5,0.001,21.5,31.1727272727273,2,10,100,9,2,5e+05,"150527_194.RData"
10,0.001,4.01818181818182,35.5818181818182,2,10,100,9,2,5e+05,"150527_195.RData"
2,0.001,16.2454545454545,33.2909090909091,2,10,100,9,2,5e+05,"150527_196.RData"
5,0.001,7.18181818181818,34.7272727272727,2,10,100,8.8,2,5e+05,"150527_197.RData"
10,0.001,3.8,38.0272727272727,2,10,100,9,2,5e+05,"150527_198.RData"
2,0.001,27.2727272727273,27.9454545454545,2,10,100,9,2,5e+05,"150527_199.RData"
2,0.001,29.5454545454545,30.2,2,10,100,9,2,5e+05,"150527_19.RData"
2,0.001,40.7272727272727,28.2,2,10,100,8.6,2,5e+05,"150527_1.RData"
5,0.001,7.36363636363636,34.4272727272727,2,10,100,8.6,2,5e+05,"150527_200.RData"
10,0.001,17.4909090909091,31.6,2,10,100,9,2,5e+05,"150527_201.RData"
2,0.001,28.0363636363636,31.2090909090909,2,10,100,8.8,2,5e+05,"150527_202.RData"
